minPts,epsilon,n_clusters,DCSI,Balance,Noise%
4,0.01,0,0.0,0.0,100.0
4,0.05,0,0.0,0.0,100.0
4,0.1,172,0.0,0.6598,77.36
4,0.2,119,0.0,0.5973,37.62
4,0.3,75,0.0,0.5862,17.92
4,0.4,17,0.0,0.3758,5.52
4,0.5,12,0.0,0.4496,2.78
4,0.6,7,0.0,0.5628,1.6
4,0.7,6,0.0,0.5248,0.78
4,0.8,3,0.8605,0.7461,0.52
4,0.9,3,0.8605,0.7439,0.34
4,1.0,2,0.9801,0.7554,0.22
4,1.1,2,0.9801,0.7521,0.14
4,1.2,2,0.9801,0.7521,0.12
4,1.3,2,0.9801,0.7522,0.08
4,1.4,2,0.9801,0.7522,0.08
4,1.5,2,0.9801,0.7523,0.06
4,1.6,2,0.9801,0.7523,0.06
4,1.7,2,0.9801,0.7523,0.06
4,1.8,2,0.9801,0.7523,0.06
4,1.9,2,0.9801,0.7523,0.06
4,2.0,2,0.9801,0.7523,0.06
4,2.1,2,0.9801,0.7523,0.0
4,2.2,2,0.9801,0.7523,0.0
4,2.3,2,0.9801,0.7523,0.0
4,2.4,2,0.9801,0.7523,0.0
4,2.5,2,0.9801,0.7523,0.0
4,2.6,2,0.9801,0.7523,0.0
4,2.8,2,0.9801,0.7523,0.0
4,3.0,2,0.9801,0.7523,0.0
4,3.25,2,0.9801,0.7523,0.0
4,3.5,2,0.9801,0.7523,0.0
4,3.75,2,0.9801,0.7523,0.0
5,0.01,0,0.0,0.0,100.0
5,0.05,0,0.0,0.0,100.0
5,0.1,85,0.0,0.7065,87.14
5,0.2,80,0.0,0.6498,44.08
5,0.3,61,0.0,0.6408,21.74
5,0.4,8,0.0,0.1952,7.16
5,0.5,6,0.0,0.4313,3.8
5,0.6,6,0.0,0.5475,2.1
5,0.7,5,0.0,0.6655,1.0
5,0.8,3,0.8605,0.746,0.54
5,0.9,3,0.8605,0.746,0.4
5,1.0,2,0.9801,0.7554,0.24
5,1.1,2,0.9801,0.7522,0.16
5,1.2,2,0.9801,0.7522,0.14
5,1.3,2,0.9801,0.7522,0.08
5,1.4,2,0.9801,0.7522,0.08
5,1.5,2,0.9801,0.7523,0.06
5,1.6,2,0.9801,0.7523,0.06
5,1.7,2,0.9801,0.7523,0.06
5,1.8,2,0.9801,0.7523,0.06
5,1.9,2,0.9801,0.7523,0.06
5,2.0,2,0.9801,0.7523,0.06
5,2.1,2,0.9801,0.7523,0.0
5,2.2,2,0.9801,0.7523,0.0
5,2.3,2,0.9801,0.7523,0.0
5,2.4,2,0.9801,0.7523,0.0
5,2.5,2,0.9801,0.7523,0.0
5,2.6,2,0.9801,0.7523,0.0
5,2.8,2,0.9801,0.7523,0.0
5,3.0,2,0.9801,0.7523,0.0
5,3.25,2,0.9801,0.7523,0.0
5,3.5,2,0.9801,0.7523,0.0
5,3.75,2,0.9801,0.7523,0.0
7,0.01,0,0.0,0.0,100.0
7,0.05,0,0.0,0.0,100.0
7,0.1,18,0.9769,0.7791,96.92
7,0.2,48,0.0,0.6965,55.72
7,0.3,38,0.0,0.7225,30.52
7,0.4,3,0.0,0.628,9.3
7,0.5,3,0.8654,0.4561,5.16
7,0.6,2,0.9895,0.617,3.06
7,0.7,4,0.8889,0.664,1.62
7,0.8,5,0.8159,0.698,0.8
7,0.9,4,0.0,0.6558,0.52
7,1.0,2,0.9801,0.7445,0.28
7,1.1,2,0.9801,0.7521,0.18
7,1.2,2,0.9801,0.7522,0.14
7,1.3,2,0.9801,0.7522,0.08
7,1.4,2,0.9801,0.7522,0.08
7,1.5,2,0.9801,0.7523,0.06
7,1.6,2,0.9801,0.7523,0.06
7,1.7,2,0.9801,0.7523,0.06
7,1.8,2,0.9801,0.7523,0.06
7,1.9,2,0.9801,0.7523,0.06
7,2.0,2,0.9801,0.7523,0.06
7,2.1,2,0.9801,0.7522,0.02
7,2.2,2,0.9801,0.7523,0.0
7,2.3,2,0.9801,0.7523,0.0
7,2.4,2,0.9801,0.7523,0.0
7,2.5,2,0.9801,0.7523,0.0
7,2.6,2,0.9801,0.7523,0.0
7,2.8,2,0.9801,0.7523,0.0
7,3.0,2,0.9801,0.7523,0.0
7,3.25,2,0.9801,0.7523,0.0
7,3.5,2,0.9801,0.7523,0.0
7,3.75,2,0.9801,0.7523,0.0
10,0.01,0,0.0,0.0,100.0
10,0.05,0,0.0,0.0,100.0
10,0.1,0,0.0,0.0,100.0
10,0.2,25,0.9364,0.793,70.76
10,0.3,24,0.8958,0.8005,40.72
10,0.4,8,0.8022,0.7918,13.32
10,0.5,2,0.9883,0.4984,6.28
10,0.6,3,0.0,0.6225,3.92
10,0.7,2,0.9895,0.629,2.34
10,0.8,2,0.9895,0.6903,1.6
10,0.9,2,0.9895,0.6793,0.96
10,1.0,2,0.9759,0.7348,0.52
10,1.1,2,0.9801,0.748,0.26
10,1.2,2,0.9801,0.7381,0.2
10,1.3,2,0.9801,0.7522,0.08
10,1.4,2,0.9801,0.7522,0.08
10,1.5,2,0.9801,0.7523,0.06
10,1.6,2,0.9801,0.7523,0.06
10,1.7,2,0.9801,0.7523,0.06
10,1.8,2,0.9801,0.7523,0.06
10,1.9,2,0.9801,0.7523,0.06
10,2.0,2,0.9801,0.7523,0.06
10,2.1,2,0.9801,0.7522,0.02
10,2.2,2,0.9801,0.7522,0.02
10,2.3,2,0.9801,0.7523,0.0
10,2.4,2,0.9801,0.7523,0.0
10,2.5,2,0.9801,0.7523,0.0
10,2.6,2,0.9801,0.7523,0.0
10,2.8,2,0.9801,0.7523,0.0
10,3.0,2,0.9801,0.7523,0.0
10,3.25,2,0.9801,0.7523,0.0
10,3.5,2,0.9801,0.7523,0.0
10,3.75,2,0.9801,0.7523,0.0
15,0.01,0,0.0,0.0,100.0
15,0.05,0,0.0,0.0,100.0
15,0.1,0,0.0,0.0,100.0
15,0.2,17,0.8846,0.8279,88.34
15,0.3,12,0.8895,0.9029,56.76
15,0.4,3,0.7717,0.6522,20.08
15,0.5,2,0.423,0.9684,8.64
15,0.6,2,0.9883,0.5856,5.14
15,0.7,2,0.9895,0.5796,2.9
15,0.8,2,0.9895,0.6667,2.14
15,0.9,2,0.9895,0.6826,1.4
15,1.0,2,0.9895,0.6596,0.9
15,1.1,2,0.9759,0.7313,0.5
15,1.2,2,0.9796,0.7551,0.32
15,1.3,2,0.9801,0.7413,0.16
15,1.4,2,0.9801,0.7522,0.08
15,1.5,2,0.9801,0.7523,0.06
15,1.6,2,0.9801,0.7523,0.06
15,1.7,2,0.9801,0.7523,0.06
15,1.8,2,0.9801,0.7523,0.06
15,1.9,2,0.9801,0.7523,0.06
15,2.0,2,0.9801,0.7523,0.06
15,2.1,2,0.9801,0.7522,0.02
15,2.2,2,0.9801,0.7522,0.02
15,2.3,2,0.9801,0.7522,0.02
15,2.4,2,0.9801,0.7523,0.0
15,2.5,2,0.9801,0.7523,0.0
15,2.6,2,0.9801,0.7523,0.0
15,2.8,2,0.9801,0.7523,0.0
15,3.0,2,0.9801,0.7523,0.0
15,3.25,2,0.9801,0.7523,0.0
15,3.5,2,0.9801,0.7523,0.0
15,3.75,2,0.9801,0.7523,0.0
