minPts,epsilon,n_clusters,DCSI,Balance,Noise%
4,0.01,45,0.0,0.0,96.12
4,0.05,45,0.0,0.0,96.12
4,0.1,207,0.0,0.0046,62.16
4,0.2,127,0.0,0.0127,35.72
4,0.3,76,0.0,0.023,21.4
4,0.4,11,0.0,0.09,7.04
4,0.5,8,0.0,0.124,3.8
4,0.6,4,0.0,0.2482,2.76
4,0.7,5,0.0,0.1978,1.48
4,0.8,3,0.9076,0.3295,0.82
4,0.9,3,0.9076,0.3293,0.52
4,1.0,3,0.0,0.3301,0.26
4,1.1,2,0.9921,0.495,0.18
4,1.2,2,0.9921,0.4949,0.12
4,1.3,2,0.9921,0.4949,0.1
4,1.4,2,0.9921,0.4949,0.06
4,1.5,2,0.9921,0.4949,0.06
4,1.6,2,0.9921,0.4949,0.04
4,1.7,2,0.9921,0.4949,0.04
4,1.8,2,0.9921,0.4949,0.04
4,1.9,2,0.9921,0.4949,0.02
4,2.0,2,0.9921,0.4949,0.0
4,2.1,2,0.9921,0.4949,0.0
4,2.2,2,0.9921,0.4949,0.0
4,2.3,2,0.9921,0.4949,0.0
4,2.4,2,0.9921,0.4949,0.0
4,2.5,2,0.9921,0.4949,0.0
4,2.6,2,0.9921,0.4949,0.0
4,2.8,2,0.9921,0.4949,0.0
4,3.0,2,0.9921,0.4949,0.0
4,3.25,2,0.9921,0.4949,0.0
4,3.5,2,0.9921,0.4949,0.0
4,3.75,2,0.9921,0.4949,0.0
5,0.01,11,0.0,0.0,98.84
5,0.05,11,0.0,0.0,98.84
5,0.1,134,0.0,0.0075,71.58
5,0.2,73,0.0,0.0234,42.34
5,0.3,62,0.0,0.0286,24.64
5,0.4,8,0.0,0.1229,8.56
5,0.5,7,0.0,0.1658,4.5
5,0.6,3,0.0,0.3313,3.08
5,0.7,3,0.9184,0.3303,1.74
5,0.8,3,0.9096,0.3297,1.1
5,0.9,4,0.0,0.2468,0.58
5,1.0,3,0.0,0.3301,0.28
5,1.1,2,0.9921,0.4951,0.22
5,1.2,2,0.9921,0.4949,0.14
5,1.3,2,0.9921,0.4949,0.1
5,1.4,2,0.9921,0.4949,0.06
5,1.5,2,0.9921,0.4949,0.06
5,1.6,2,0.9921,0.4949,0.04
5,1.7,2,0.9921,0.4949,0.04
5,1.8,2,0.9921,0.4949,0.04
5,1.9,2,0.9921,0.4949,0.02
5,2.0,2,0.9921,0.4949,0.0
5,2.1,2,0.9921,0.4949,0.0
5,2.2,2,0.9921,0.4949,0.0
5,2.3,2,0.9921,0.4949,0.0
5,2.4,2,0.9921,0.4949,0.0
5,2.5,2,0.9921,0.4949,0.0
5,2.6,2,0.9921,0.4949,0.0
5,2.8,2,0.9921,0.4949,0.0
5,3.0,2,0.9921,0.4949,0.0
5,3.25,2,0.9921,0.4949,0.0
5,3.5,2,0.9921,0.4949,0.0
5,3.75,2,0.9921,0.4949,0.0
7,0.01,0,0.0,0.0,100.0
7,0.05,0,0.0,0.0,100.0
7,0.1,63,0.0,0.0166,84.54
7,0.2,43,0.0,0.04,51.06
7,0.3,43,0.9386,0.0394,31.38
7,0.4,4,0.401,0.2481,11.02
7,0.5,2,0.4876,0.4971,5.9
7,0.6,3,0.8117,0.3319,3.82
7,0.7,3,0.9184,0.3306,2.12
7,0.8,3,0.9096,0.33,1.3
7,0.9,3,0.9076,0.3296,0.78
7,1.0,2,0.9921,0.4956,0.48
7,1.1,2,0.9921,0.4955,0.3
7,1.2,2,0.9921,0.4954,0.24
7,1.3,2,0.9921,0.4952,0.16
7,1.4,2,0.9921,0.4949,0.06
7,1.5,2,0.9921,0.4949,0.06
7,1.6,2,0.9921,0.4949,0.04
7,1.7,2,0.9921,0.4949,0.04
7,1.8,2,0.9921,0.4949,0.04
7,1.9,2,0.9921,0.4949,0.02
7,2.0,2,0.9921,0.4949,0.0
7,2.1,2,0.9921,0.4949,0.0
7,2.2,2,0.9921,0.4949,0.0
7,2.3,2,0.9921,0.4949,0.0
7,2.4,2,0.9921,0.4949,0.0
7,2.5,2,0.9921,0.4949,0.0
7,2.6,2,0.9921,0.4949,0.0
7,2.8,2,0.9921,0.4949,0.0
7,3.0,2,0.9921,0.4949,0.0
7,3.25,2,0.9921,0.4949,0.0
7,3.5,2,0.9921,0.4949,0.0
7,3.75,2,0.9921,0.4949,0.0
10,0.01,0,0.0,0.0,100.0
