minPts,epsilon,n_clusters,DCSI,Balance,Noise%
4,0.01,19,0.0,0.0358,98.38
4,0.05,19,0.0,0.0358,98.38
4,0.1,209,0.0,0.0119,66.14
4,0.2,129,0.0,0.0421,34.26
4,0.3,93,0.0,0.0555,21.32
4,0.4,13,0.0,0.0758,6.48
4,0.5,7,0.0,0.1416,3.18
4,0.6,7,0.0,0.1415,2.14
4,0.7,4,0.0,0.2474,1.2
4,0.8,4,0.0,0.2473,0.76
4,0.9,3,0.8459,0.3298,0.52
4,1.0,2,0.9914,0.4953,0.3
4,1.1,2,0.9914,0.4951,0.22
4,1.2,2,0.9858,0.495,0.14
4,1.3,2,0.9858,0.4949,0.06
4,1.4,2,0.9858,0.4949,0.04
4,1.5,2,0.9858,0.4949,0.04
4,1.6,2,0.9858,0.4949,0.02
4,1.7,2,0.9858,0.4949,0.02
4,1.8,2,0.9858,0.4949,0.02
4,1.9,2,0.9858,0.4949,0.02
4,2.0,2,0.9858,0.4949,0.0
4,2.1,2,0.9858,0.4949,0.0
4,2.2,2,0.9858,0.4949,0.0
4,2.3,2,0.9858,0.4949,0.0
4,2.4,2,0.9858,0.4949,0.0
4,2.5,2,0.9858,0.4949,0.0
4,2.6,2,0.9858,0.4949,0.0
4,2.8,2,0.9858,0.4949,0.0
4,3.0,2,0.9858,0.4949,0.0
4,3.25,2,0.9858,0.4949,0.0
4,3.5,2,0.9858,0.4949,0.0
4,3.75,2,0.9858,0.4949,0.0
5,0.01,3,0.0,0.2024,99.66
5,0.05,3,0.0,0.2024,99.66
5,0.1,129,0.0,0.0178,76.24
5,0.2,91,0.0,0.0572,40.38
5,0.3,69,0.0,0.0758,25.46
5,0.4,9,0.0,0.11,7.74
5,0.5,5,0.0,0.1987,3.62
5,0.6,5,0.0,0.1988,2.62
5,0.7,2,0.9914,0.4957,1.46
5,0.8,2,0.9914,0.4955,1.0
5,0.9,2,0.9914,0.4955,0.78
5,1.0,2,0.9914,0.4954,0.38
5,1.1,2,0.9914,0.4951,0.22
5,1.2,2,0.9858,0.495,0.14
5,1.3,2,0.9858,0.495,0.08
5,1.4,2,0.9858,0.4949,0.04
5,1.5,2,0.9858,0.4949,0.04
5,1.6,2,0.9858,0.4949,0.02
5,1.7,2,0.9858,0.4949,0.02
5,1.8,2,0.9858,0.4949,0.02
5,1.9,2,0.9858,0.4949,0.02
5,2.0,2,0.9858,0.4949,0.0
5,2.1,2,0.9858,0.4949,0.0
5,2.2,2,0.9858,0.4949,0.0
5,2.3,2,0.9858,0.4949,0.0
5,2.4,2,0.9858,0.4949,0.0
5,2.5,2,0.9858,0.4949,0.0
5,2.6,2,0.9858,0.4949,0.0
5,2.8,2,0.9858,0.4949,0.0
5,3.0,2,0.9858,0.4949,0.0
5,3.25,2,0.9858,0.4949,0.0
5,3.5,2,0.9858,0.4949,0.0
5,3.75,2,0.9858,0.4949,0.0
7,0.01,1,0.0,1.0,99.86
7,0.05,1,0.0,1.0,99.86
7,0.1,47,0.0,0.0809,89.28
7,0.2,50,0.9612,0.0907,51.32
7,0.3,50,0.0,0.1051,33.26
7,0.4,6,0.0,0.1654,9.82
7,0.5,3,0.8157,0.3321,4.44
7,0.6,3,0.8696,0.3322,3.16
7,0.7,3,0.7458,0.3315,1.92
7,0.8,2,0.9914,0.4956,1.2
7,0.9,2,0.9914,0.4956,0.84
7,1.0,2,0.9914,0.4954,0.42
7,1.1,2,0.9914,0.4951,0.22
7,1.2,2,0.9858,0.495,0.14
7,1.3,2,0.9858,0.495,0.08
7,1.4,2,0.9858,0.4949,0.04
7,1.5,2,0.9858,0.4949,0.04
7,1.6,2,0.9858,0.4949,0.02
7,1.7,2,0.9858,0.4949,0.02
7,1.8,2,0.9858,0.4949,0.02
7,1.9,2,0.9858,0.4949,0.02
7,2.0,2,0.9858,0.4949,0.0
7,2.1,2,0.9858,0.4949,0.0
7,2.2,2,0.9858,0.4949,0.0
7,2.3,2,0.9858,0.4949,0.0
7,2.4,2,0.9858,0.4949,0.0
7,2.5,2,0.9858,0.4949,0.0
7,2.6,2,0.9858,0.4949,0.0
7,2.8,2,0.9858,0.4949,0.0
7,3.0,2,0.9858,0.4949,0.0
7,3.25,2,0.9858,0.4949,0.0
7,3.5,2,0.9858,0.4949,0.0
7,3.75,2,0.9858,0.4949,0.0
10,0.01,0,0.0,0.0,100.0
10,0.05,0,0.0,0.0,100.0
10,0.1,12,0.959,0.1538,96.94
10,0.2,28,0.9477,0.1279,63.0
10,0.3,28,0.9108,0.1793,42.68
10,0.4,6,0.0,0.1625,13.54
10,0.5,1,0.0,1.0,6.46
10,0.6,1,0.0,1.0,4.12
10,0.7,2,0.9914,0.499,2.46
10,0.8,2,0.9914,0.4975,1.66
10,0.9,2,0.9914,0.496,1.08
10,1.0,2,0.9914,0.4954,0.58
10,1.1,2,0.9914,0.4953,0.34
10,1.2,2,0.9919,0.4953,0.22
10,1.3,2,0.9919,0.4952,0.12
10,1.4,2,0.9858,0.495,0.06
10,1.5,2,0.9858,0.4949,0.04
10,1.6,2,0.9858,0.4949,0.02
10,1.7,2,0.9858,0.4949,0.02
10,1.8,2,0.9858,0.4949,0.02
10,1.9,2,0.9858,0.4949,0.02
10,2.0,2,0.9858,0.4949,0.0
10,2.1,2,0.9858,0.4949,0.0
10,2.2,2,0.9858,0.4949,0.0
10,2.3,2,0.9858,0.4949,0.0
10,2.4,2,0.9858,0.4949,0.0
10,2.5,2,0.9858,0.4949,0.0
10,2.6,2,0.9858,0.4949,0.0
10,2.8,2,0.9858,0.4949,0.0
10,3.0,2,0.9858,0.4949,0.0
10,3.25,2,0.9858,0.4949,0.0
10,3.5,2,0.9858,0.4949,0.0
10,3.75,2,0.9858,0.4949,0.0
15,0.01,0,0.0,0.0,100.0
15,0.05,0,0.0,0.0,100.0
15,0.1,0,0.0,0.0,100.0
15,0.2,9,0.8454,0.2946,77.8
15,0.3,18,0.9025,0.2175,55.56
15,0.4,3,0.7959,0.3301,20.12
15,0.5,2,0.5,0.4945,8.92
15,0.6,1,0.0,1.0,5.26
15,0.7,1,0.0,1.0,3.38
15,0.8,1,0.0,1.0,2.38
15,0.9,2,0.9914,0.4975,1.52
15,1.0,2,0.9914,0.4961,0.86
15,1.1,2,0.9914,0.4959,0.56
15,1.2,2,0.9914,0.4957,0.34
15,1.3,2,0.9919,0.4954,0.18
15,1.4,2,0.9858,0.495,0.06
15,1.5,2,0.9858,0.495,0.06
15,1.6,2,0.9858,0.495,0.04
15,1.7,2,0.9858,0.4949,0.02
15,1.8,2,0.9858,0.4949,0.02
15,1.9,2,0.9858,0.4949,0.02
15,2.0,2,0.9858,0.4949,0.0
15,2.1,2,0.9858,0.4949,0.0
15,2.2,2,0.9858,0.4949,0.0
15,2.3,2,0.9858,0.4949,0.0
15,2.4,2,0.9858,0.4949,0.0
15,2.5,2,0.9858,0.4949,0.0
15,2.6,2,0.9858,0.4949,0.0
15,2.8,2,0.9858,0.4949,0.0
15,3.0,2,0.9858,0.4949,0.0
15,3.25,2,0.9858,0.4949,0.0
15,3.5,2,0.9858,0.4949,0.0
15,3.75,2,0.9858,0.4949,0.0
