minPts,epsilon,n_clusters,DCSI,Balance,Noise%
4,0.01,107,0.0,0.0,89.4
4,0.05,107,0.0,0.0,89.4
4,0.1,200,0.0,0.0039,57.0
4,0.2,121,0.0,0.018,34.82
4,0.3,82,0.0,0.0279,20.64
4,0.4,13,0.0,0.075,7.54
4,0.5,5,0.0,0.1988,4.14
4,0.6,7,0.0,0.1282,2.3
4,0.7,5,0.0,0.1793,1.38
4,0.8,3,0.9002,0.2994,1.0
4,0.9,3,0.9002,0.2995,0.6
4,1.0,3,0.8687,0.2997,0.46
4,1.1,2,0.9913,0.4487,0.22
4,1.2,2,0.9913,0.4487,0.14
4,1.3,2,0.9913,0.4488,0.08
4,1.4,2,0.9913,0.4488,0.08
4,1.5,2,0.9913,0.4488,0.04
4,1.6,2,0.9913,0.4488,0.04
4,1.7,2,0.9913,0.4488,0.02
4,1.8,2,0.9913,0.4488,0.0
4,1.9,2,0.9913,0.4488,0.0
4,2.0,2,0.9913,0.4488,0.0
4,2.1,2,0.9913,0.4488,0.0
4,2.2,2,0.9913,0.4488,0.0
4,2.3,2,0.9913,0.4488,0.0
4,2.4,2,0.9913,0.4488,0.0
4,2.5,2,0.9913,0.4488,0.0
4,2.6,2,0.9913,0.4488,0.0
4,2.8,2,0.9913,0.4488,0.0
4,3.0,2,0.9913,0.4488,0.0
4,3.25,2,0.9913,0.4488,0.0
4,3.5,2,0.9913,0.4488,0.0
4,3.75,2,0.9913,0.4488,0.0
5,0.01,53,0.0,0.0,93.72
5,0.05,53,0.0,0.0,93.72
5,0.1,127,0.0,0.0066,65.4
5,0.2,89,0.0,0.0246,40.02
5,0.3,58,0.0,0.0398,24.56
5,0.4,7,0.0,0.1404,8.88
5,0.5,5,0.0,0.1988,4.64
5,0.6,6,0.0,0.1654,2.8
5,0.7,3,0.0,0.2981,1.72
5,0.8,3,0.9002,0.2993,1.06
5,0.9,3,0.9002,0.2994,0.66
5,1.0,3,0.8687,0.2997,0.46
5,1.1,2,0.9913,0.4484,0.32
5,1.2,2,0.9913,0.4485,0.2
5,1.3,2,0.9913,0.4487,0.12
5,1.4,2,0.9913,0.4488,0.08
5,1.5,2,0.9913,0.4488,0.04
5,1.6,2,0.9913,0.4488,0.04
5,1.7,2,0.9913,0.4488,0.02
5,1.8,2,0.9913,0.4488,0.0
5,1.9,2,0.9913,0.4488,0.0
5,2.0,2,0.9913,0.4488,0.0
5,2.1,2,0.9913,0.4488,0.0
5,2.2,2,0.9913,0.4488,0.0
5,2.3,2,0.9913,0.4488,0.0
5,2.4,2,0.9913,0.4488,0.0
5,2.5,2,0.9913,0.4488,0.0
5,2.6,2,0.9913,0.4488,0.0
5,2.8,2,0.9913,0.4488,0.0
5,3.0,2,0.9913,0.4488,0.0
5,3.25,2,0.9913,0.4488,0.0
5,3.5,2,0.9913,0.4488,0.0
5,3.75,2,0.9913,0.4488,0.0
7,0.01,13,0.0,0.0,98.0
7,0.05,13,0.0,0.0,98.0
7,0.1,67,0.0,0.0065,76.96
7,0.2,49,0.9683,0.0382,50.7
7,0.3,42,0.0,0.0528,30.42
7,0.4,8,0.0,0.1228,11.14
7,0.5,3,0.8027,0.331,6.16
7,0.6,3,0.912,0.3317,3.64
7,0.7,4,0.0,0.2481,2.22
7,0.8,3,0.9111,0.2987,1.36
7,0.9,3,0.9002,0.2993,0.72
7,1.0,3,0.8687,0.2996,0.58
7,1.1,2,0.9913,0.4483,0.36
7,1.2,2,0.9913,0.4484,0.24
7,1.3,2,0.9913,0.4486,0.14
7,1.4,2,0.9913,0.4488,0.08
7,1.5,2,0.9913,0.4488,0.04
7,1.6,2,0.9913,0.4488,0.04
7,1.7,2,0.9913,0.4488,0.02
7,1.8,2,0.9913,0.4488,0.0
7,1.9,2,0.9913,0.4488,0.0
7,2.0,2,0.9913,0.4488,0.0
7,2.1,2,0.9913,0.4488,0.0
7,2.2,2,0.9913,0.4488,0.0
7,2.3,2,0.9913,0.4488,0.0
7,2.4,2,0.9913,0.4488,0.0
7,2.5,2,0.9913,0.4488,0.0
7,2.6,2,0.9913,0.4488,0.0
7,2.8,2,0.9913,0.4488,0.0
7,3.0,2,0.9913,0.4488,0.0
7,3.25,2,0.9913,0.4488,0.0
7,3.5,2,0.9913,0.4488,0.0
7,3.75,2,0.9913,0.4488,0.0
10,0.01,0,0.0,0.0,100.0
10,0.05,0,0.0,0.0,100.0
10,0.1,25,0.9778,0.0211,87.1
10,0.2,28,0.0,0.0737,61.32
10,0.3,29,0.0,0.0812,38.88
10,0.4,6,0.8083,0.1608,14.26
10,0.5,3,0.5548,0.3311,7.88
10,0.6,2,0.9913,0.4986,4.82
10,0.7,2,0.9913,0.498,3.0
10,0.8,2,0.9913,0.4974,1.88
10,0.9,2,0.9913,0.4476,1.14
10,1.0,3,0.9002,0.2992,0.74
10,1.1,3,0.8687,0.2995,0.5
10,1.2,2,0.9913,0.4484,0.32
10,1.3,2,0.9913,0.4484,0.2
10,1.4,2,0.9913,0.4487,0.12
10,1.5,2,0.9913,0.4488,0.06
10,1.6,2,0.9913,0.4488,0.04
10,1.7,2,0.9913,0.4488,0.02
10,1.8,2,0.9913,0.4488,0.0
10,1.9,2,0.9913,0.4488,0.0
10,2.0,2,0.9913,0.4488,0.0
10,2.1,2,0.9913,0.4488,0.0
10,2.2,2,0.9913,0.4488,0.0
10,2.3,2,0.9913,0.4488,0.0
10,2.4,2,0.9913,0.4488,0.0
10,2.5,2,0.9913,0.4488,0.0
10,2.6,2,0.9913,0.4488,0.0
10,2.8,2,0.9913,0.4488,0.0
10,3.0,2,0.9913,0.4488,0.0
10,3.25,2,0.9913,0.4488,0.0
10,3.5,2,0.9913,0.4488,0.0
