minPts,epsilon,n_clusters,DCSI,Balance,Noise%
4,0.01,8,0.0,0.0,99.32
4,0.05,9,0.0,0.0,99.24
4,0.1,205,0.0,0.0003,68.2
4,0.2,133,0.0,0.0106,37.64
4,0.3,85,0.0,0.0202,21.16
4,0.4,16,0.0,0.0609,7.08
4,0.5,6,0.0,0.1646,3.3
4,0.6,4,0.0,0.2478,2.1
4,0.7,6,0.0,0.1647,1.08
4,0.8,5,0.0,0.1975,0.7
4,0.9,3,0.7418,0.3289,0.48
4,1.0,2,0.9614,0.4943,0.24
4,1.1,2,0.9614,0.4943,0.2
4,1.2,2,0.9614,0.4943,0.1
4,1.3,2,0.9614,0.4943,0.06
4,1.4,2,0.9614,0.4942,0.04
4,1.5,2,0.9614,0.4942,0.02
4,1.6,2,0.9614,0.4942,0.02
4,1.7,2,0.9614,0.4942,0.02
4,1.8,2,0.9614,0.4942,0.02
4,1.9,2,0.9614,0.4942,0.0
4,2.0,2,0.9614,0.4942,0.0
4,2.1,2,0.9614,0.4942,0.0
4,2.2,2,0.9614,0.4942,0.0
4,2.3,2,0.9614,0.4942,0.0
4,2.4,2,0.9614,0.4942,0.0
4,2.5,2,0.9614,0.4942,0.0
4,2.6,2,0.9614,0.4942,0.0
4,2.8,2,0.9614,0.4942,0.0
4,3.0,2,0.9614,0.4942,0.0
4,3.25,2,0.9614,0.4942,0.0
4,3.5,2,0.9614,0.4942,0.0
4,3.75,2,0.9614,0.4942,0.0
5,0.01,2,0.0,0.0,99.8
5,0.05,2,0.0,0.0,99.8
5,0.1,127,0.0,0.0003,78.32
5,0.2,88,0.0,0.0186,44.08
5,0.3,56,0.0,0.0301,26.24
5,0.4,15,0.0,0.065,8.18
5,0.5,4,0.0,0.2475,3.78
5,0.6,2,0.9691,0.4964,2.52
5,0.7,4,0.0,0.2475,1.38
5,0.8,4,0.0,0.2474,1.0
5,0.9,3,0.7576,0.3291,0.56
5,1.0,2,0.9614,0.4943,0.28
5,1.1,2,0.9614,0.4943,0.24
5,1.2,2,0.9614,0.4943,0.12
5,1.3,2,0.9614,0.4943,0.06
5,1.4,2,0.9614,0.4942,0.04
5,1.5,2,0.9614,0.4942,0.02
5,1.6,2,0.9614,0.4942,0.02
5,1.7,2,0.9614,0.4942,0.02
5,1.8,2,0.9614,0.4942,0.02
