minPts,epsilon,n_clusters,DCSI,Balance,Noise%
4,0.01,6,0.0,0.0,99.52
4,0.05,8,0.0,0.0,99.36
4,0.1,184,0.0,0.0193,74.12
4,0.2,132,0.0,0.0418,36.5
4,0.3,77,0.0,0.0662,20.06
4,0.4,8,0.0,0.1228,5.6
4,0.5,4,0.8188,0.2466,3.3
4,0.6,3,0.8126,0.3286,1.82
4,0.7,4,0.8439,0.2453,0.84
4,0.8,4,0.8199,0.2451,0.48
4,0.9,3,0.8671,0.3284,0.4
4,1.0,2,0.97,0.4926,0.24
4,1.1,2,0.97,0.4925,0.12
4,1.2,2,0.97,0.4925,0.08
4,1.3,2,0.97,0.4925,0.08
4,1.4,2,0.97,0.4925,0.08
4,1.5,2,0.97,0.4925,0.08
4,1.6,2,0.97,0.4924,0.04
4,1.7,2,0.97,0.4924,0.04
4,1.8,2,0.97,0.4924,0.02
4,1.9,2,0.97,0.4924,0.02
4,2.0,2,0.97,0.4924,0.02
4,2.1,2,0.97,0.4924,0.0
4,2.2,2,0.97,0.4924,0.0
4,2.3,2,0.97,0.4924,0.0
4,2.4,2,0.97,0.4924,0.0
4,2.5,2,0.97,0.4924,0.0
4,2.6,2,0.97,0.4924,0.0
4,2.8,2,0.97,0.4924,0.0
4,3.0,2,0.97,0.4924,0.0
4,3.25,2,0.97,0.4924,0.0
4,3.5,2,0.97,0.4924,0.0
4,3.75,2,0.97,0.4924,0.0
5,0.01,0,0.0,0.0,100.0
5,0.05,0,0.0,0.0,100.0
5,0.1,91,0.0,0.0356,84.16
5,0.2,88,0.0,0.0641,43.34
5,0.3,57,0.0,0.0889,23.68
5,0.4,8,0.0,0.1227,6.36
5,0.5,5,0.0,0.1973,3.72
5,0.6,3,0.8389,0.329,2.04
5,0.7,3,0.8115,0.3276,1.08
5,0.8,4,0.8435,0.2453,0.6
5,0.9,3,0.8671,0.3284,0.44
5,1.0,2,0.97,0.4926,0.32
5,1.1,2,0.97,0.4925,0.14
5,1.2,2,0.97,0.4925,0.08
5,1.3,2,0.97,0.4925,0.08
5,1.4,2,0.97,0.4925,0.08
5,1.5,2,0.97,0.4925,0.08
5,1.6,2,0.97,0.4924,0.04
5,1.7,2,0.97,0.4924,0.04
5,1.8,2,0.97,0.4924,0.02
5,1.9,2,0.97,0.4924,0.02
5,2.0,2,0.97,0.4924,0.02
5,2.1,2,0.97,0.4924,0.0
5,2.2,2,0.97,0.4924,0.0
5,2.3,2,0.97,0.4924,0.0
5,2.4,2,0.97,0.4924,0.0
5,2.5,2,0.97,0.4924,0.0
5,2.6,2,0.97,0.4924,0.0
5,2.8,2,0.97,0.4924,0.0
5,3.0,2,0.97,0.4924,0.0
5,3.25,2,0.97,0.4924,0.0
