minPts,epsilon,n_clusters,DCSI,Balance,Noise%
4,0.01,60,0.0,0.0,94.44
4,0.05,60,0.0,0.0,94.44
4,0.1,200,0.0,0.0006,61.56
4,0.2,106,0.0,0.0169,35.74
4,0.3,72,0.0,0.0296,20.64
4,0.4,15,0.0,0.0655,6.9
4,0.5,8,0.0,0.1238,3.46
4,0.6,6,0.0,0.1652,2.48
4,0.7,4,0.0,0.2476,1.36
4,0.8,4,0.8846,0.247,0.7
4,0.9,4,0.8846,0.2468,0.48
4,1.0,3,0.9075,0.3298,0.26
4,1.1,3,0.9075,0.3298,0.24
4,1.2,2,0.9697,0.4946,0.12
4,1.3,2,0.9697,0.4946,0.1
4,1.4,2,0.9697,0.4942,0.02
4,1.5,2,0.9697,0.4942,0.02
4,1.6,2,0.9697,0.4942,0.02
4,1.7,2,0.9697,0.4942,0.02
4,1.8,2,0.9697,0.4942,0.02
4,1.9,2,0.9697,0.4942,0.02
4,2.0,2,0.9697,0.4942,0.0
4,2.1,2,0.9697,0.4942,0.0
4,2.2,2,0.9697,0.4942,0.0
4,2.3,2,0.9697,0.4942,0.0
4,2.4,2,0.9697,0.4942,0.0
4,2.5,2,0.9697,0.4942,0.0
4,2.6,2,0.9697,0.4942,0.0
4,2.8,2,0.9697,0.4942,0.0
4,3.0,2,0.9697,0.4942,0.0
4,3.25,2,0.9697,0.4942,0.0
4,3.5,2,0.9697,0.4942,0.0
4,3.75,2,0.9697,0.4942,0.0
5,0.01,20,0.0,0.0,97.64
5,0.05,20,0.0,0.0,97.64
5,0.1,120,0.0,0.0011,71.24
5,0.2,77,0.0,0.0254,41.04
5,0.3,63,0.0,0.0329,24.34
5,0.4,12,0.0,0.081,8.26
5,0.5,3,0.0,0.3317,4.4
5,0.6,2,0.9905,0.4974,2.98
5,0.7,5,0.0,0.1981,1.72
5,0.8,4,0.8846,0.2471,0.78
5,0.9,4,0.8846,0.247,0.58
5,1.0,3,0.9075,0.3299,0.32
5,1.1,3,0.9075,0.3299,0.26
