,Data,Algorithm,N_cluster,min_pts,DCSI,Balance,ARI,NMI,Noise,ARI_DB,NMI_DB,Actual_clusters
0,compas,GroundTruth,2,20.0,0.0,0.7898868273150492,1.0,1.0,0.0,0.022622842426792942,0.042805437112815925,
1,compas,GroundTruth_DB,4,20.0,0.987733031145833,0.5382847540535513,0.022622842426792942,0.042805437112815925,0.2506094588005851,1.0,1.0,
2,compas,FairDen,2,,0.26520316085286183,0.5801668757386671,0.018197673830346657,0.03678950174377154,0.00048756704046806434,0.6909742499613176,0.5786292841117965,2.0
3,compas,FairSC_normalized,2,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
4,compas,FairSC,2,,0.0,0.44736333255501726,4.139356885364218e-05,6.861247154276466e-06,0.0,-0.08566040489645102,0.06884145603942991,2.0
5,compas,FairDen,4,,0.4449245812343543,0.3993970169270644,0.005230799880017424,0.03219350975616962,0.00048756704046806434,0.709002183554376,0.6120005042859034,4.0
6,compas,FairSC_normalized,4,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
7,compas,FairSC,4,,0.15441461487952862,0.1841784495368113,0.019373639405602584,0.018284443024879887,0.0,-0.14314575330475202,0.12289253551060739,4.0
8,compas,FairDen,6,,0.5070607777273728,0.3197227332461184,0.015314660928841291,0.03320528257373883,0.0048756704046806435,0.61922549816285,0.5923365711146537,6.0
9,compas,FairSC_normalized,6,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
10,compas,FairSC,6,,0.1826157768477633,0.10370289551176921,0.049992489519438514,0.046528937624999156,0.0,-0.05888143875106594,0.1898852011143598,6.0
11,compas,FairDen,8,,0.5314974567446339,0.25402316203235925,0.011934461764881837,0.03229580978315332,0.0048756704046806435,0.613069691626575,0.5816555268480944,8.0
12,compas,FairSC_normalized,8,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
13,compas,FairSC,8,,0.24886747042011187,0.07267999349910613,0.05114885379046758,0.04723956970185371,0.0,-0.08586787929744763,0.18597762282203031,8.0
14,compas,FairDen,10,,0.5462696903900872,0.27443285684907887,0.014562824557390639,0.030712930322601216,0.005363237445148708,0.46058437963360077,0.551856464130191,10.0
15,compas,FairSC_normalized,10,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
16,compas,FairSC,10,,0.28923876110672725,0.06265654384620742,0.04666678710602875,0.045526909253750615,0.0,-0.10821460808435279,0.16283301186467264,10.0
