minPts,epsilon,n_clusters,DCSI,Balance,Noise%
4,0.01,139,0.0,0.2513,0.66
4,0.05,139,0.0,0.2513,0.66
4,0.1,50,0.0,0.1974,0.29
4,0.2,13,0.0,0.1737,0.15
4,0.3,14,0.0,0.1772,0.1
4,0.4,10,0.0,0.1943,0.07
4,0.5,9,0.9499,0.2098,0.05
4,0.6,9,0.9477,0.2082,0.05
4,0.7,11,0.0,0.1831,0.03
4,0.8,11,0.0,0.1825,0.03
4,0.9,11,0.8952,0.1803,0.02
4,1.0,11,0.8947,0.1804,0.02
4,1.1,11,0.8947,0.1803,0.02
4,1.2,12,0.0,0.1653,0.02
4,1.3,2,0.9076,0.4985,0.01
4,1.4,1,0.0,1.0,0.01
4,1.5,1,0.0,1.0,0.01
4,1.6,1,0.0,1.0,0.01
4,1.7,1,0.0,1.0,0.01
4,1.8,1,0.0,1.0,0.01
4,1.9,1,0.0,1.0,0.0
4,2.0,1,0.0,1.0,0.0
4,2.1,1,0.0,1.0,0.0
4,2.2,1,0.0,1.0,0.0
4,2.3,1,0.0,1.0,0.0
4,2.4,1,0.0,1.0,0.0
4,2.5,1,0.0,1.0,0.0
4,2.6,1,0.0,1.0,0.0
4,2.8,1,0.0,1.0,0.0
4,3.0,1,0.0,1.0,0.0
4,3.25,1,0.0,1.0,0.0
4,3.5,1,0.0,1.0,0.0
4,3.75,1,0.0,1.0,0.0
5,0.01,70,0.0,0.4467,0.8
5,0.05,70,0.0,0.4467,0.8
5,0.1,43,0.0,0.2097,0.35
5,0.2,8,0.0,0.2836,0.17
5,0.3,10,0.0,0.2374,0.12
5,0.4,10,0.0,0.2054,0.08
5,0.5,9,0.0,0.2108,0.05
5,0.6,9,0.9508,0.2103,0.05
5,0.7,10,0.0,0.1865,0.04
5,0.8,9,0.931,0.2228,0.03
5,0.9,11,0.0,0.1814,0.02
5,1.0,11,0.8952,0.1804,0.02
5,1.1,11,0.8947,0.1804,0.02
5,1.2,11,0.8947,0.1803,0.02
5,1.3,2,0.9076,0.4985,0.01
5,1.4,1,0.0,1.0,0.01
5,1.5,1,0.0,1.0,0.01
5,1.6,1,0.0,1.0,0.01
5,1.7,1,0.0,1.0,0.01
5,1.8,1,0.0,1.0,0.01
5,1.9,1,0.0,1.0,0.0
5,2.0,1,0.0,1.0,0.0
5,2.1,1,0.0,1.0,0.0
5,2.2,1,0.0,1.0,0.0
5,2.3,1,0.0,1.0,0.0
5,2.4,1,0.0,1.0,0.0
5,2.5,1,0.0,1.0,0.0
5,2.6,1,0.0,1.0,0.0
5,2.8,1,0.0,1.0,0.0
5,3.0,1,0.0,1.0,0.0
5,3.25,1,0.0,1.0,0.0
5,3.5,1,0.0,1.0,0.0
5,3.75,1,0.0,1.0,0.0
10,0.01,0,0.0,0.0,1.0
10,0.05,0,0.0,0.0,1.0
10,0.1,26,0.0,0.4872,0.58
10,0.2,4,0.9039,0.4221,0.26
10,0.3,7,0.9138,0.3312,0.18
10,0.4,4,0.9591,0.4307,0.12
10,0.5,6,0.9238,0.3491,0.09
10,0.6,5,0.9602,0.3912,0.08
10,0.7,6,0.9337,0.3146,0.06
10,0.8,8,0.9304,0.2336,0.05
10,0.9,8,0.926,0.2546,0.04
10,1.0,8,0.9065,0.2525,0.04
10,1.1,8,0.8892,0.2503,0.04
10,1.2,8,0.8892,0.2494,0.04
10,1.3,1,0.0,1.0,0.02
10,1.4,1,0.0,1.0,0.01
10,1.5,1,0.0,1.0,0.01
10,1.6,1,0.0,1.0,0.01
10,1.7,1,0.0,1.0,0.01
10,1.8,1,0.0,1.0,0.01
10,1.9,1,0.0,1.0,0.0
10,2.0,1,0.0,1.0,0.0
10,2.1,1,0.0,1.0,0.0
10,2.2,1,0.0,1.0,0.0
10,2.3,1,0.0,1.0,0.0
10,2.4,1,0.0,1.0,0.0
10,2.5,1,0.0,1.0,0.0
10,2.6,1,0.0,1.0,0.0
10,2.8,1,0.0,1.0,0.0
10,3.0,1,0.0,1.0,0.0
10,3.25,1,0.0,1.0,0.0
10,3.5,1,0.0,1.0,0.0
10,3.75,1,0.0,1.0,0.0
15,0.01,0,0.0,0.0,1.0
15,0.05,0,0.0,0.0,1.0
15,0.1,10,0.9211,0.6545,0.83
15,0.2,3,0.9879,0.5836,0.31
15,0.3,4,0.9555,0.5084,0.23
15,0.4,3,0.9499,0.5721,0.15
15,0.5,4,0.9568,0.4212,0.12
15,0.6,4,0.9394,0.4059,0.11
15,0.7,4,0.9502,0.4395,0.09
15,0.8,4,0.9546,0.4312,0.08
15,0.9,4,0.9394,0.4278,0.07
15,1.0,4,0.9279,0.4232,0.07
15,1.1,5,0.9256,0.3719,0.06
15,1.2,6,0.9329,0.3084,0.05
15,1.3,1,0.0,1.0,0.03
15,1.4,1,0.0,1.0,0.02
15,1.5,1,0.0,1.0,0.01
15,1.6,1,0.0,1.0,0.01
15,1.7,1,0.0,1.0,0.01
15,1.8,1,0.0,1.0,0.01
15,1.9,1,0.0,1.0,0.01
15,2.0,1,0.0,1.0,0.01
15,2.1,1,0.0,1.0,0.01
15,2.2,1,0.0,1.0,0.01
15,2.3,1,0.0,1.0,0.01
15,2.4,1,0.0,1.0,0.01
15,2.5,1,0.0,1.0,0.01
15,2.6,1,0.0,1.0,0.01
15,2.8,1,0.0,1.0,0.0
15,3.0,1,0.0,1.0,0.0
15,3.25,1,0.0,1.0,0.0
15,3.5,1,0.0,1.0,0.0
15,3.75,1,0.0,1.0,0.0
7,0.01,12,0.0,0.6715,0.96
7,0.05,12,0.0,0.6715,0.96
7,0.1,33,0.0,0.2904,0.44
7,0.2,13,0.0,0.2021,0.19
7,0.3,7,0.0,0.3363,0.15
7,0.4,9,0.9304,0.2391,0.1
7,0.5,9,0.0,0.2118,0.06
7,0.6,8,0.9396,0.2384,0.06
7,0.7,9,0.9354,0.2077,0.04
7,0.8,9,0.9353,0.2244,0.04
7,0.9,9,0.9326,0.2215,0.03
7,1.0,9,0.9021,0.221,0.03
7,1.1,9,0.9009,0.2203,0.03
7,1.2,10,0.8849,0.1984,0.02
7,1.3,1,0.0,1.0,0.02
7,1.4,1,0.0,1.0,0.01
7,1.5,1,0.0,1.0,0.01
7,1.6,1,0.0,1.0,0.01
7,1.7,1,0.0,1.0,0.01
7,1.8,1,0.0,1.0,0.01
7,1.9,1,0.0,1.0,0.0
7,2.0,1,0.0,1.0,0.0
7,2.1,1,0.0,1.0,0.0
7,2.2,1,0.0,1.0,0.0
7,2.3,1,0.0,1.0,0.0
7,2.4,1,0.0,1.0,0.0
7,2.5,1,0.0,1.0,0.0
7,2.6,1,0.0,1.0,0.0
7,2.8,1,0.0,1.0,0.0
7,3.0,1,0.0,1.0,0.0
7,3.25,1,0.0,1.0,0.0
7,3.5,1,0.0,1.0,0.0
7,3.75,1,0.0,1.0,0.0
