minPts,epsilon,n_clusters,DCSI,Balance,Noise%
4,0.01,208,0.0,0.3427,55.91
4,0.05,208,0.0,0.3427,55.91
4,0.1,62,0.0,0.1421,25.36
4,0.2,15,0.0,0.1345,12.29
4,0.3,13,0.0,0.1562,8.54
4,0.4,14,0.0,0.131,6.2
4,0.5,14,0.0,0.1255,3.82
4,0.6,14,0.0,0.1252,3.43
4,0.7,12,0.0,0.1548,2.61
4,0.8,12,0.0,0.1537,2.3
4,0.9,12,0.0,0.1534,2.03
4,1.0,13,0.0,0.1416,1.64
4,1.1,13,0.0,0.1416,1.48
4,1.2,13,0.0,0.1416,1.44
4,1.3,6,0.0,0.1957,1.25
4,1.4,1,0.0,1.0,0.78
4,1.5,1,0.0,1.0,0.59
4,1.6,1,0.0,1.0,0.51
4,1.7,1,0.0,1.0,0.51
4,1.8,1,0.0,1.0,0.51
4,1.9,1,0.0,1.0,0.43
4,2.0,1,0.0,1.0,0.43
4,2.1,1,0.0,1.0,0.39
4,2.2,1,0.0,1.0,0.39
4,2.3,1,0.0,1.0,0.39
4,2.4,1,0.0,1.0,0.39
4,2.5,1,0.0,1.0,0.39
4,2.6,1,0.0,1.0,0.39
4,2.8,2,0.0,0.4992,0.12
4,3.0,1,0.0,1.0,0.12
4,3.25,1,0.0,1.0,0.12
4,3.5,1,0.0,1.0,0.12
4,3.75,1,0.0,1.0,0.12
5,0.01,143,0.0,0.4841,66.06
5,0.05,143,0.0,0.4841,66.06
5,0.1,49,0.0,0.1686,29.96
5,0.2,12,0.0,0.1863,13.93
5,0.3,13,0.0,0.169,9.64
5,0.4,9,0.9321,0.2046,7.1
5,0.5,10,0.9361,0.1761,4.72
5,0.6,11,0.0,0.1593,4.14
5,0.7,10,0.9121,0.1861,3.12
5,0.8,10,0.9121,0.1847,2.85
5,0.9,11,0.91,0.1674,2.26
5,1.0,12,0.0,0.1534,1.91
5,1.1,12,0.9088,0.1534,1.76
5,1.2,12,0.9067,0.1534,1.64
5,1.3,5,0.7164,0.2351,1.4
5,1.4,1,0.0,1.0,0.78
5,1.5,1,0.0,1.0,0.59
5,1.6,1,0.0,1.0,0.55
5,1.7,1,0.0,1.0,0.51
5,1.8,1,0.0,1.0,0.51
5,1.9,1,0.0,1.0,0.47
5,2.0,1,0.0,1.0,0.47
5,2.1,1,0.0,1.0,0.39
5,2.2,1,0.0,1.0,0.39
5,2.3,1,0.0,1.0,0.39
5,2.4,1,0.0,1.0,0.39
5,2.5,1,0.0,1.0,0.39
5,2.6,1,0.0,1.0,0.39
5,2.8,1,0.0,1.0,0.35
5,3.0,1,0.0,1.0,0.12
5,3.25,1,0.0,1.0,0.12
5,3.5,1,0.0,1.0,0.12
5,3.75,1,0.0,1.0,0.12
7,0.01,50,0.0,0.728,85.56
7,0.05,50,0.0,0.728,85.56
7,0.1,26,0.9669,0.2944,40.54
7,0.2,8,0.9259,0.2826,17.56
7,0.3,5,0.9197,0.4256,13.23
7,0.4,7,0.9244,0.2771,8.47
7,0.5,9,0.917,0.2,5.85
7,0.6,8,0.9224,0.2219,5.46
7,0.7,11,0.9177,0.1591,3.67
7,0.8,10,0.9147,0.1855,3.2
7,0.9,10,0.9122,0.1848,2.93
7,1.0,12,0.9004,0.1534,2.18
