minPts,epsilon,n_clusters,DCSI,Balance,Noise%
4,0.01,109,0.0,1.0,78.74
4,0.05,109,0.0,1.0,78.74
4,0.1,57,0.0,0.171,32.62
4,0.2,15,0.0,0.1287,15.21
4,0.3,11,0.0,0.1808,10.97
4,0.4,14,0.0,0.1285,7.7
4,0.5,14,0.0,0.1234,4.78
4,0.6,13,0.0,0.1322,3.9
4,0.7,12,0.0,0.1525,3.12
4,0.8,12,0.0,0.152,2.83
4,0.9,12,0.0,0.1517,2.54
4,1.0,13,0.0,0.14,1.95
4,1.1,13,0.0,0.14,1.8
4,1.2,1,0.0,1.0,1.32
4,1.3,1,0.0,1.0,0.98
4,1.4,1,0.0,1.0,0.68
4,1.5,1,0.0,1.0,0.63
4,1.6,1,0.0,1.0,0.63
4,1.7,1,0.0,1.0,0.63
4,1.8,1,0.0,1.0,0.59
4,1.9,1,0.0,1.0,0.54
4,2.0,1,0.0,1.0,0.49
4,2.1,1,0.0,1.0,0.49
4,2.2,1,0.0,1.0,0.49
4,2.3,1,0.0,1.0,0.49
4,2.4,1,0.0,1.0,0.49
4,2.5,2,0.0,0.499,0.15
4,2.6,2,0.0,0.499,0.15
4,2.8,1,0.0,1.0,0.15
4,3.0,1,0.0,1.0,0.15
4,3.25,1,0.0,1.0,0.15
4,3.5,1,0.0,1.0,0.15
4,3.75,1,0.0,1.0,0.15
5,0.01,0,0.0,0.0,100.0
5,0.05,0,0.0,0.0,100.0
5,0.1,46,0.0,0.1936,39.05
5,0.2,12,0.0,0.178,17.5
5,0.3,13,0.0,0.1633,11.9
5,0.4,8,0.9184,0.2263,9.12
5,0.5,10,0.9213,0.1743,6.09
5,0.6,12,0.0,0.1443,4.97
5,0.7,10,0.8959,0.1831,3.71
5,0.8,11,0.0,0.1658,3.12
5,0.9,11,0.8909,0.1655,2.73
5,1.0,12,0.8949,0.1517,2.24
5,1.1,12,0.8949,0.1517,2.05
5,1.2,1,0.0,1.0,1.46
5,1.3,1,0.0,1.0,0.98
5,1.4,1,0.0,1.0,0.73
5,1.5,1,0.0,1.0,0.68
5,1.6,1,0.0,1.0,0.63
5,1.7,1,0.0,1.0,0.63
5,1.8,1,0.0,1.0,0.59
5,1.9,1,0.0,1.0,0.59
5,2.0,1,0.0,1.0,0.49
5,2.1,1,0.0,1.0,0.49
5,2.2,1,0.0,1.0,0.49
5,2.3,1,0.0,1.0,0.49
5,2.4,1,0.0,1.0,0.49
5,2.5,1,0.0,1.0,0.44
5,2.6,1,0.0,1.0,0.44
5,2.8,1,0.0,1.0,0.15
5,3.0,1,0.0,1.0,0.15
5,3.25,1,0.0,1.0,0.15
5,3.5,1,0.0,1.0,0.15
5,3.75,1,0.0,1.0,0.15
7,0.01,0,0.0,0.0,100.0
7,0.05,0,0.0,0.0,100.0
7,0.1,23,0.9573,0.4221,54.8
7,0.2,8,0.9261,0.2725,21.7
7,0.3,5,0.9164,0.4428,16.33
7,0.4,7,0.9316,0.2712,10.68
7,0.5,9,0.9037,0.1972,7.61
7,0.6,8,0.9031,0.2183,6.78
7,0.7,10,0.9067,0.1844,4.49
7,0.8,10,0.9013,0.1828,3.85
7,0.9,10,0.8985,0.1827,3.66
7,1.0,12,0.8867,0.1517,2.68
7,1.1,12,0.8949,0.1517,2.19
7,1.2,1,0.0,1.0,1.66
7,1.3,1,0.0,1.0,1.12
7,1.4,1,0.0,1.0,0.98
7,1.5,1,0.0,1.0,0.83
7,1.6,1,0.0,1.0,0.73
7,1.7,1,0.0,1.0,0.68
7,1.8,1,0.0,1.0,0.59
7,1.9,1,0.0,1.0,0.59
7,2.0,1,0.0,1.0,0.54
7,2.1,1,0.0,1.0,0.54
7,2.2,1,0.0,1.0,0.54
7,2.3,1,0.0,1.0,0.49
7,2.4,1,0.0,1.0,0.49
7,2.5,1,0.0,1.0,0.44
7,2.6,1,0.0,1.0,0.44
7,2.8,1,0.0,1.0,0.29
7,3.0,1,0.0,1.0,0.29
7,3.25,1,0.0,1.0,0.24
7,3.5,1,0.0,1.0,0.24
7,3.75,1,0.0,1.0,0.15
10,0.01,0,0.0,0.0,100.0
10,0.05,0,0.0,0.0,100.0
10,0.1,16,0.9438,0.7021,72.55
10,0.2,6,0.9253,0.3556,28.28
10,0.3,6,0.9486,0.3575,19.26
10,0.4,5,0.9662,0.3882,12.77
10,0.5,6,0.9001,0.3036,9.85
10,0.6,8,0.9112,0.2246,8.09
10,0.7,8,0.9014,0.2169,6.48
10,0.8,8,0.9057,0.2155,5.85
10,0.9,8,0.8971,0.2299,5.07
10,1.0,8,0.8971,0.2279,4.53
10,1.1,10,0.8894,0.182,3.32
10,1.2,1,0.0,1.0,2.05
10,1.3,1,0.0,1.0,1.22
10,1.4,1,0.0,1.0,1.02
10,1.5,1,0.0,1.0,0.98
10,1.6,1,0.0,1.0,0.93
10,1.7,1,0.0,1.0,0.68
10,1.8,1,0.0,1.0,0.68
10,1.9,1,0.0,1.0,0.63
10,2.0,1,0.0,1.0,0.54
10,2.1,1,0.0,1.0,0.54
10,2.2,1,0.0,1.0,0.54
10,2.3,1,0.0,1.0,0.54
10,2.4,1,0.0,1.0,0.49
10,2.5,1,0.0,1.0,0.44
10,2.6,1,0.0,1.0,0.44
10,2.8,1,0.0,1.0,0.29
10,3.0,1,0.0,1.0,0.29
10,3.25,1,0.0,1.0,0.24
10,3.5,1,0.0,1.0,0.24
10,3.75,1,0.0,1.0,0.2
15,0.01,0,0.0,0.0,100.0
15,0.05,0,0.0,0.0,100.0
15,0.1,0,0.0,0.0,100.0
15,0.2,3,0.9864,0.606,36.42
15,0.3,4,0.9877,0.5383,25.06
15,0.4,4,0.9706,0.5327,15.5
15,0.5,4,0.9245,0.485,12.53
15,0.6,4,0.8471,0.4681,11.41
15,0.7,4,0.8471,0.4467,9.9
15,0.8,5,0.884,0.3524,8.82
15,0.9,6,0.8968,0.2888,7.46
15,1.0,6,0.8827,0.3099,6.63
15,1.1,7,0.8917,0.261,5.12
15,1.2,1,0.0,1.0,2.88
15,1.3,1,0.0,1.0,1.8
15,1.4,1,0.0,1.0,1.22
15,1.5,1,0.0,1.0,1.12
15,1.6,1,0.0,1.0,1.12
15,1.7,1,0.0,1.0,0.88
15,1.8,1,0.0,1.0,0.68
15,1.9,1,0.0,1.0,0.63
15,2.0,1,0.0,1.0,0.54
15,2.1,1,0.0,1.0,0.54
15,2.2,1,0.0,1.0,0.54
15,2.3,1,0.0,1.0,0.54
15,2.4,1,0.0,1.0,0.54
15,2.5,1,0.0,1.0,0.54
15,2.6,1,0.0,1.0,0.54
15,2.8,1,0.0,1.0,0.29
15,3.0,1,0.0,1.0,0.29
15,3.25,1,0.0,1.0,0.24
15,3.5,1,0.0,1.0,0.24
15,3.75,1,0.0,1.0,0.2
