minPts,epsilon,n_clusters,DCSI,Balance,Noise%
4,0.01,0,0.0,0.0,100.0
4,0.05,0,0.0,0.0,100.0
4,0.1,51,0.0,0.7075,47.12
4,0.2,13,0.0,0.4498,19.8
4,0.3,12,0.0,0.4071,11.59
4,0.4,13,0.0,0.4089,9.21
4,0.5,13,0.0,0.4079,6.08
4,0.6,11,0.0,0.4102,5.08
4,0.7,11,0.0,0.3905,4.2
4,0.8,11,0.8887,0.3866,3.7
4,0.9,12,0.8792,0.3512,2.88
4,1.0,12,0.8667,0.3479,2.76
4,1.1,1,0.0,1.0,1.5
4,1.2,1,0.0,1.0,1.25
4,1.3,1,0.0,1.0,0.88
4,1.4,1,0.0,1.0,0.81
4,1.5,1,0.0,1.0,0.81
4,1.6,1,0.0,1.0,0.81
4,1.7,1,0.0,1.0,0.75
4,1.8,1,0.0,1.0,0.63
4,1.9,1,0.0,1.0,0.63
4,2.0,1,0.0,1.0,0.63
4,2.1,1,0.0,1.0,0.63
4,2.2,1,0.0,1.0,0.63
4,2.3,2,0.0,0.4987,0.19
4,2.4,2,0.0,0.4987,0.19
4,2.5,1,0.0,1.0,0.19
4,2.6,1,0.0,1.0,0.19
4,2.8,1,0.0,1.0,0.19
4,3.0,1,0.0,1.0,0.19
4,3.25,1,0.0,1.0,0.19
4,3.5,1,0.0,1.0,0.19
4,3.75,1,0.0,1.0,0.19
5,0.01,0,0.0,0.0,100.0
5,0.05,0,0.0,0.0,100.0
5,0.1,34,0.0,0.8671,58.77
5,0.2,15,0.0,0.3889,22.62
5,0.3,11,0.0,0.4858,13.28
5,0.4,9,0.0,0.4859,10.84
5,0.5,11,0.0,0.4235,6.89
5,0.6,11,0.9145,0.4223,5.58
5,0.7,10,0.8867,0.4312,4.7
5,0.8,11,0.8887,0.3873,3.76
5,0.9,11,0.8823,0.3838,3.32
5,1.0,12,0.0,0.3502,2.94
5,1.1,1,0.0,1.0,1.82
5,1.2,1,0.0,1.0,1.32
5,1.3,1,0.0,1.0,0.94
5,1.4,1,0.0,1.0,0.81
5,1.5,1,0.0,1.0,0.81
5,1.6,1,0.0,1.0,0.81
5,1.7,1,0.0,1.0,0.75
5,1.8,1,0.0,1.0,0.69
5,1.9,1,0.0,1.0,0.63
5,2.0,1,0.0,1.0,0.63
5,2.1,1,0.0,1.0,0.63
5,2.2,1,0.0,1.0,0.63
5,2.3,1,0.0,1.0,0.56
5,2.4,1,0.0,1.0,0.44
5,2.5,1,0.0,1.0,0.19
5,2.6,1,0.0,1.0,0.19
5,2.8,1,0.0,1.0,0.19
5,3.0,1,0.0,1.0,0.19
5,3.25,1,0.0,1.0,0.19
5,3.5,1,0.0,1.0,0.19
5,3.75,1,0.0,1.0,0.19
7,0.01,0,0.0,0.0,100.0
7,0.05,0,0.0,0.0,100.0
7,0.1,0,0.0,0.0,100.0
7,0.2,9,0.9298,0.4665,29.51
7,0.3,5,0.9634,0.6212,17.23
7,0.4,8,0.9179,0.5031,12.66
7,0.5,8,0.9087,0.5367,9.46
7,0.6,10,0.9139,0.4648,6.64
7,0.7,10,0.8913,0.4514,5.51
7,0.8,10,0.8869,0.44,4.7
7,0.9,11,0.8887,0.3962,3.88
7,1.0,12,0.0,0.3582,3.38
7,1.1,1,0.0,1.0,1.94
7,1.2,1,0.0,1.0,1.5
7,1.3,1,0.0,1.0,1.25
7,1.4,1,0.0,1.0,1.07
7,1.5,1,0.0,1.0,0.88
7,1.6,1,0.0,1.0,0.88
7,1.7,1,0.0,1.0,0.75
7,1.8,1,0.0,1.0,0.75
7,1.9,1,0.0,1.0,0.69
7,2.0,1,0.0,1.0,0.69
7,2.1,1,0.0,1.0,0.69
7,2.2,1,0.0,1.0,0.63
7,2.3,1,0.0,1.0,0.56
7,2.4,1,0.0,1.0,0.56
7,2.5,1,0.0,1.0,0.38
7,2.6,1,0.0,1.0,0.38
7,2.8,1,0.0,1.0,0.31
7,3.0,1,0.0,1.0,0.31
7,3.25,1,0.0,1.0,0.31
7,3.5,1,0.0,1.0,0.19
7,3.75,1,0.0,1.0,0.19
10,0.01,0,0.0,0.0,100.0
10,0.05,0,0.0,0.0,100.0
10,0.1,0,0.0,0.0,100.0
10,0.2,4,0.9041,0.5774,38.35
10,0.3,5,0.912,0.4361,20.86
10,0.4,5,0.9601,0.5882,16.1
10,0.5,7,0.9052,0.4969,11.65
10,0.6,8,0.9098,0.5335,8.96
10,0.7,8,0.9051,0.5312,7.83
10,0.8,8,0.9001,0.4988,6.89
10,0.9,8,0.892,0.4889,6.2
10,1.0,8,0.8897,0.4976,5.83
10,1.1,1,0.0,1.0,2.44
10,1.2,1,0.0,1.0,1.63
10,1.3,1,0.0,1.0,1.5
10,1.4,1,0.0,1.0,1.25
10,1.5,1,0.0,1.0,1.0
10,1.6,1,0.0,1.0,0.88
10,1.7,1,0.0,1.0,0.88
10,1.8,1,0.0,1.0,0.75
10,1.9,1,0.0,1.0,0.69
10,2.0,1,0.0,1.0,0.69
10,2.1,1,0.0,1.0,0.69
10,2.2,1,0.0,1.0,0.63
10,2.3,1,0.0,1.0,0.56
10,2.4,1,0.0,1.0,0.56
10,2.5,1,0.0,1.0,0.44
10,2.6,1,0.0,1.0,0.38
10,2.8,1,0.0,1.0,0.31
10,3.0,1,0.0,1.0,0.31
10,3.25,1,0.0,1.0,0.31
10,3.5,1,0.0,1.0,0.25
10,3.75,1,0.0,1.0,0.19
15,0.01,0,0.0,0.0,100.0
15,0.05,0,0.0,0.0,100.0
15,0.1,0,0.0,0.0,100.0
15,0.2,3,0.7286,0.8246,52.26
15,0.3,3,0.9808,0.6541,27.63
15,0.4,3,0.9558,0.6344,20.05
15,0.5,4,0.9534,0.5461,15.73
15,0.6,4,0.8548,0.5491,13.78
15,0.7,5,0.8858,0.6054,11.72
15,0.8,5,0.8879,0.6132,10.78
15,0.9,6,0.8996,0.5717,9.15
15,1.0,7,0.8976,0.5177,7.64
15,1.1,1,0.0,1.0,3.26
15,1.2,1,0.0,1.0,2.32
15,1.3,1,0.0,1.0,1.75
15,1.4,1,0.0,1.0,1.44
15,1.5,1,0.0,1.0,1.44
15,1.6,1,0.0,1.0,1.13
15,1.7,1,0.0,1.0,0.94
15,1.8,1,0.0,1.0,0.81
15,1.9,1,0.0,1.0,0.69
15,2.0,1,0.0,1.0,0.69
15,2.1,1,0.0,1.0,0.69
15,2.2,1,0.0,1.0,0.69
15,2.3,1,0.0,1.0,0.69
15,2.4,1,0.0,1.0,0.69
15,2.5,1,0.0,1.0,0.44
15,2.6,1,0.0,1.0,0.38
15,2.8,1,0.0,1.0,0.38
15,3.0,1,0.0,1.0,0.31
15,3.25,1,0.0,1.0,0.31
15,3.5,1,0.0,1.0,0.25
15,3.75,1,0.0,1.0,0.25
