,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,race,age,fnlwgt,education_num,capital_gain,hours_per_week,GroundTruth,GroundTruth_DB,FairDEN2,FairSC_normalized2,FairSC2,FairDEN3,FairSC_normalized3,FairSC3,FairDEN4,FairSC_normalized4,FairSC4,FairDEN5,FairSC_normalized5,FairSC5,FairDEN6,FairSC_normalized6,FairSC6,FairDEN7,FairSC_normalized7,FairSC7,FairDEN8,FairSC_normalized8,FairSC8,FairDEN9,FairSC_normalized9,FairSC9,FairDEN10,FairSC_normalized10,FairSC10,FairDen2,FairDen3,FairDen4,FairDen5,FairDen6,FairDen7,FairDen8,FairDen9,FairDen10
0,0,0,32022,4,51,213296,9,0,30,0,0,0,0,1,1,1,1,0,0,1,1,2,3,2,3,4,1,6,1,5,6,5,8,4,1,9,4,7,0,2,0,2,3,0,2,4,9
1,1,1,19593,2,27,207948,10,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1,0,0,1,3,5,3,1,1,0
2,2,2,29624,4,32,112650,9,0,40,0,0,0,0,0,0,1,1,1,1,3,2,1,4,0,4,0,6,1,3,2,7,7,3,0,0,1,5,2,0,0,1,3,0,6,3,7,3
3,3,3,38343,4,28,167737,14,5178,40,1,0,1,1,1,1,2,0,0,2,2,4,4,1,2,5,3,5,5,2,7,2,2,6,7,3,3,2,4,1,2,0,1,3,4,6,0,5
4,4,4,30748,2,54,127943,9,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,0,3,4,6,0,5,2,5,5,3,4,1,1,4,1,0,0,1,3,0,6,3,7,3
5,5,5,30558,4,38,190895,13,0,40,1,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,8,4,2,1,0,0,1,3,5,3,1,1,0
6,6,6,31869,4,45,174794,13,0,56,0,0,0,1,1,1,2,0,0,2,2,1,4,1,5,5,3,4,5,2,5,2,2,8,7,8,0,2,1,0,2,0,2,1,1,2,4,1
7,7,7,45181,4,41,195096,13,0,50,0,0,0,1,1,0,2,0,1,2,2,1,4,1,5,5,3,4,5,2,0,2,2,4,7,8,5,2,1,0,0,1,2,1,1,7,5,8
8,8,8,13035,4,29,215504,9,0,40,0,0,0,0,0,0,0,2,1,3,3,2,1,4,0,4,1,6,1,0,2,7,4,3,0,5,1,8,9,0,0,1,3,0,6,3,7,3
9,9,9,24247,4,43,152617,10,0,40,0,0,0,0,0,0,1,1,1,1,1,2,0,3,1,3,4,0,6,6,6,6,6,1,8,4,4,3,8,0,0,1,3,5,3,1,1,0
10,10,10,43550,4,49,140644,13,5013,45,0,0,1,1,1,1,2,0,0,2,2,4,4,1,2,5,3,1,5,2,7,5,2,6,4,8,3,4,1,1,2,0,1,3,0,6,0,5
11,11,11,29137,2,44,222635,3,0,40,0,0,1,0,1,1,1,1,0,1,1,4,0,3,2,3,4,1,0,5,7,5,5,6,4,1,3,4,1,1,2,0,1,3,0,6,0,5
12,12,12,18633,4,32,100135,9,0,40,0,0,0,0,0,0,1,1,1,1,3,2,1,4,0,4,0,6,1,3,2,7,7,3,0,0,1,5,2,0,0,1,3,0,6,3,7,3
13,13,13,35513,4,63,90393,10,0,48,0,0,0,1,1,1,1,1,0,1,1,1,2,3,2,3,4,1,6,1,5,6,5,6,8,1,9,3,7,0,2,0,2,3,0,2,4,9
14,14,14,16620,4,59,38573,10,0,40,1,0,0,1,1,1,1,1,0,1,1,1,2,3,5,3,4,4,6,1,5,6,5,8,8,1,0,3,7,0,2,0,2,1,1,2,4,1
15,15,15,30674,4,18,110142,9,0,40,0,0,0,0,0,0,1,2,1,1,3,2,1,4,1,4,0,0,1,3,6,7,7,1,0,0,4,5,2,0,0,1,3,5,3,1,1,0
16,16,16,17700,4,39,387068,9,0,40,1,0,0,0,1,0,0,2,1,3,0,1,3,0,5,2,2,4,3,5,0,0,0,4,2,6,5,9,0,0,0,1,2,1,1,7,5,8
17,17,17,35703,4,21,116234,10,0,44,0,0,0,0,0,0,1,2,1,1,3,2,1,4,1,4,0,0,1,3,6,7,7,1,0,0,4,5,2,0,0,1,3,5,3,1,1,0
18,18,18,2463,2,46,174224,11,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1,0,0,1,3,5,3,1,1,0
19,19,19,39378,1,30,170449,14,0,40,1,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1,0,0,1,3,5,3,1,1,0
20,20,20,42597,4,19,375079,10,0,35,0,0,0,0,0,0,0,2,1,3,0,1,3,0,5,2,2,4,3,5,5,0,0,4,2,6,0,9,0,0,0,0,2,1,1,7,5,1
21,21,21,47293,4,39,233117,15,0,40,1,0,0,1,1,1,2,0,0,2,2,1,4,1,5,5,3,1,5,2,5,2,2,8,7,8,9,2,1,0,2,0,2,1,0,2,4,9
