,Unnamed: 0,gender,age,fnlwgt,education_num,capital_gain,hours_per_week,GroundTruth,GroundTruth_DB,Scalable2,FairDEN2,FairSC_normalized2,FairSC2,Fairlet_MCF Fairlet2,Scalable3,FairDEN3,FairSC_normalized3,FairSC3,Fairlet_MCF Fairlet3,Scalable4,FairDEN4,FairSC_normalized4,FairSC4,Fairlet_MCF Fairlet4,Scalable5,FairDEN5,FairSC_normalized5,FairSC5,Fairlet_MCF Fairlet5,Scalable6,FairDEN6,FairSC_normalized6,FairSC6,Fairlet_MCF Fairlet6,Scalable7,FairDEN7,FairSC_normalized7,FairSC7,Fairlet_MCF Fairlet7,Scalable8,FairDEN8,FairSC_normalized8,FairSC8,Fairlet_MCF Fairlet8,Scalable9,FairDEN9,FairSC_normalized9,FairSC9,Fairlet_MCF Fairlet9,Scalable10,FairDEN10,FairSC_normalized10,FairSC10,Fairlet_MCF Fairlet10,FairDen2,FairDen3,FairDen4,FairDen5,FairDen6,FairDen7,FairDen8,FairDen9,FairDen10
0,32022,0,19,57145,9,0,25,0,-1,1,0,0,1,0,0,0,2,1,1,0,1,0,2,1,1,1,3,1,2,0,5,5,2,0,4,6,2,4,2,5,5,6,5,3,2,5,4,2,6,5,1,7,6,5,0,1,3,1,0,1,0,1,8
1,19593,0,17,146268,6,0,10,0,-1,0,1,0,1,0,1,0,2,1,1,0,1,0,2,1,2,4,3,1,2,0,2,5,2,0,3,2,2,4,1,1,0,6,5,3,2,2,4,2,6,5,9,7,6,4,1,1,3,4,1,3,7,3,1
2,29624,0,50,46155,11,0,40,1,-1,1,0,0,1,0,2,0,2,1,1,3,1,0,0,1,3,1,4,3,2,4,5,4,4,0,4,6,4,3,1,3,5,7,4,3,0,5,7,1,6,9,1,9,0,9,0,1,3,1,0,1,0,1,8
3,38344,0,45,184441,4,0,42,0,-1,1,1,0,1,0,1,0,2,1,1,3,1,1,0,1,2,4,1,3,2,5,2,0,4,0,1,2,4,3,1,7,0,7,4,3,8,2,7,1,6,8,9,9,0,9,1,1,3,4,1,3,7,3,1
4,30748,0,34,228406,10,0,40,0,-1,0,0,0,1,0,1,1,2,1,1,1,0,0,0,1,4,2,4,3,2,0,4,4,4,3,2,1,6,2,1,4,1,3,0,3,6,8,3,1,6,3,7,8,3,8,0,0,0,0,5,6,1,8,4
5,30558,0,29,197565,11,0,35,0,-1,0,0,0,1,0,0,1,2,1,1,1,0,0,0,1,1,1,4,3,2,0,5,4,1,3,2,6,6,2,1,4,5,5,6,3,6,5,3,3,6,3,1,6,3,9,0,0,0,1,0,1,0,1,8
6,31869,0,55,118993,10,0,10,0,-1,1,1,0,1,0,2,0,2,1,1,3,1,0,0,1,0,3,1,3,2,1,2,4,4,4,5,5,4,2,6,2,7,7,4,5,2,7,7,1,0,9,3,9,0,1,1,1,3,2,1,0,2,6,5
7,45182,1,52,146015,9,0,40,0,-1,1,0,0,1,0,2,1,2,1,1,3,0,1,0,1,3,2,1,3,2,1,4,0,4,0,5,1,1,0,1,2,3,4,2,3,7,4,2,5,2,9,0,0,5,4,0,0,0,0,5,2,3,5,9
8,13035,1,19,198668,9,0,40,0,-1,0,0,0,1,0,1,1,0,2,1,1,0,2,1,1,1,2,2,2,2,0,4,2,3,3,2,1,5,1,2,4,3,0,3,3,6,8,8,4,6,3,7,3,8,5,0,0,0,0,5,2,3,8,4
9,24247,1,38,115289,9,0,40,0,-1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,2,1,4,2,3,4,3,3,0,4,1,5,1,1,5,3,0,3,3,0,4,8,8,6,6,0,3,8,4,0,0,0,0,5,2,3,5,9
10,43551,0,39,222530,10,0,40,0,-1,0,0,0,1,0,1,1,2,1,1,1,0,0,0,1,4,2,4,3,2,3,4,4,4,0,6,1,6,2,1,2,1,7,0,3,1,8,3,1,6,3,7,4,3,0,0,0,0,0,5,6,1,8,4
11,29137,1,21,181096,10,0,20,0,-1,0,0,0,1,0,1,1,0,2,1,1,0,2,1,1,1,2,2,2,2,0,1,2,0,3,2,0,5,1,2,4,1,0,3,3,2,0,0,8,6,5,2,5,4,7,0,0,0,0,2,6,1,2,0
12,18633,1,40,163455,10,0,55,1,-1,1,0,0,1,0,2,1,2,1,1,1,0,1,0,1,3,1,1,3,2,3,5,3,1,0,0,0,0,2,1,3,5,2,0,3,1,5,1,6,6,0,1,1,7,9,0,0,0,1,0,1,0,1,8
13,35513,0,45,86618,14,0,50,1,-1,1,0,0,1,0,0,0,2,1,1,3,1,0,0,1,3,1,4,3,2,4,5,4,1,0,0,6,6,6,1,6,5,5,6,3,4,2,5,3,2,2,9,6,9,4,0,1,3,1,0,3,0,3,1
14,16620,1,40,123306,11,0,40,1,-1,1,0,0,1,0,0,1,2,1,1,0,0,0,0,1,0,2,1,4,2,3,1,3,3,0,4,0,4,0,1,5,1,0,2,3,0,0,8,5,6,6,2,3,8,4,0,0,0,0,2,6,1,2,0
15,30674,1,17,169155,8,0,35,0,-1,0,0,0,1,0,1,0,0,2,1,1,1,2,1,1,1,1,2,2,0,0,5,2,0,0,3,6,5,1,4,4,5,0,3,2,6,5,8,8,2,7,1,5,4,2,0,1,3,1,0,1,0,1,8
16,17700,1,27,220748,9,0,48,0,-1,0,0,0,1,0,1,1,2,2,1,1,0,0,1,1,1,2,1,2,2,0,1,3,1,0,3,0,0,2,1,4,1,2,0,3,6,0,1,6,6,3,2,4,7,9,0,0,0,1,2,6,1,2,0
17,35703,0,28,402771,11,0,23,0,-1,0,1,0,1,0,1,0,2,1,1,2,1,0,2,1,4,4,2,1,2,0,2,5,2,0,6,2,6,4,2,0,7,3,5,3,5,7,3,2,6,4,3,4,3,7,1,1,3,4,1,0,2,6,5
18,2463,1,46,174224,11,0,40,0,-1,1,0,0,1,0,2,1,2,1,1,3,0,1,0,1,3,2,1,3,2,1,1,0,4,0,5,0,4,0,1,2,1,4,2,3,7,0,2,5,6,9,2,3,8,4,0,0,0,0,2,6,1,2,0
19,39379,0,31,192660,11,0,30,0,-1,0,0,0,1,0,0,0,2,1,1,1,1,0,0,1,1,4,1,3,2,0,2,4,1,0,2,2,4,2,1,4,0,7,0,3,2,2,3,1,6,3,9,4,3,4,1,1,3,4,1,3,7,3,1
20,42598,1,60,328011,10,0,20,0,-1,0,1,0,1,0,2,2,2,1,2,3,3,0,2,1,4,3,1,3,2,1,0,0,4,3,5,4,1,0,1,2,4,4,2,3,7,1,2,1,7,4,5,0,5,8,1,2,1,2,4,5,4,4,6
21,47294,1,39,233117,15,0,40,1,-1,0,0,1,0,0,0,0,1,0,1,1,1,3,3,1,3,1,0,0,2,2,5,1,5,0,0,6,3,5,1,6,5,1,1,3,3,2,6,0,6,1,9,2,2,4,0,1,3,1,0,3,0,3,1
22,37428,1,51,145105,10,0,30,0,-1,1,0,0,1,0,2,0,2,1,1,3,1,1,0,1,3,4,1,3,2,1,2,0,4,0,5,2,1,0,1,2,0,4,2,3,7,2,2,5,6,9,9,0,5,4,0,1,3,4,1,3,7,3,1
23,48266,1,32,244268,7,0,48,0,-1,0,1,0,1,0,1,0,0,1,1,1,1,0,2,1,2,4,1,2,2,3,2,3,0,3,3,2,6,2,2,1,0,3,0,3,1,2,0,1,6,8,9,4,3,5,1,1,3,4,1,3,7,3,1
24,5653,1,56,192869,9,0,40,1,-1,1,0,0,1,0,2,1,2,1,1,3,0,1,2,1,3,2,1,3,2,1,4,0,4,0,5,1,1,0,1,2,3,4,2,3,7,4,2,5,6,9,0,0,5,0,0,0,0,0,5,2,3,5,9
25,31570,0,31,190027,9,0,40,0,1,0,0,0,1,0,1,1,2,1,1,1,0,0,0,1,1,2,1,3,2,3,4,4,4,0,3,1,4,3,1,4,3,7,7,3,6,4,3,7,6,3,0,8,1,0,0,0,0,0,5,2,3,5,9
26,26782,1,49,122584,4,0,40,0,-1,1,1,0,1,0,2,0,0,1,1,3,1,1,2,1,2,4,1,3,2,5,2,0,4,0,1,2,1,0,1,7,7,4,2,3,8,7,2,1,6,8,3,0,5,5,1,1,3,4,1,0,2,6,5
27,41803,1,55,102058,13,0,40,1,-1,1,0,1,0,0,2,1,1,0,1,3,0,3,3,1,3,2,0,0,2,4,1,1,5,0,0,0,3,5,1,6,1,1,1,6,3,0,6,0,2,2,2,2,2,4,0,0,0,0,2,6,1,2,0
28,25694,1,36,67728,13,0,50,1,-1,1,0,1,0,0,0,1,1,0,1,0,0,3,3,1,0,1,0,0,2,4,5,1,5,0,0,6,3,5,1,6,5,1,1,3,4,5,6,0,2,2,1,2,2,4,0,0,0,1,0,1,0,1,8
29,39367,1,40,246949,9,0,40,0,-1,0,0,0,1,0,1,1,0,1,1,1,0,0,2,1,4,2,2,3,2,1,4,4,0,0,6,1,6,2,1,2,3,3,0,3,5,4,3,4,6,8,0,4,8,5,0,0,0,0,5,2,3,5,9
30,18533,0,20,238685,10,0,32,0,-1,0,0,0,1,0,1,1,2,1,1,2,0,0,2,1,1,1,3,1,2,0,1,5,2,0,2,0,2,4,1,4,1,6,5,6,6,0,3,2,2,3,2,8,3,4,0,0,0,1,2,6,1,2,0
31,11497,1,27,120126,13,0,45,1,-1,1,0,1,0,0,0,1,1,0,1,0,0,3,3,1,0,2,0,0,2,2,1,1,5,0,0,0,3,5,1,6,1,1,1,3,4,0,6,0,6,1,2,2,2,4,0,0,0,0,2,6,1,2,0
32,3617,1,17,354201,9,0,40,0,-1,0,0,0,1,0,1,1,0,2,1,2,0,2,2,1,4,1,2,2,2,0,5,2,0,0,6,6,6,2,1,0,5,3,0,3,5,5,0,1,6,3,1,4,3,5,0,0,0,1,0,1,0,1,8
33,13909,0,19,98605,10,0,20,0,-1,1,0,0,1,0,0,1,2,1,1,0,0,0,2,1,1,1,3,1,2,0,5,5,2,3,2,0,2,4,2,5,5,6,5,0,2,5,4,2,1,5,1,7,6,7,0,0,0,1,0,1,0,1,8
34,31723,1,35,189092,13,0,40,1,-1,0,0,1,0,0,0,1,1,0,1,1,0,3,3,1,0,2,0,0,2,2,1,1,5,0,0,0,3,5,1,6,1,1,1,3,4,0,6,0,6,1,2,2,2,7,0,0,0,0,2,6,1,2,0
35,7565,0,41,277390,13,0,30,1,-1,0,1,0,1,0,0,0,2,1,1,1,1,0,0,1,4,4,4,3,2,2,2,4,1,0,6,2,6,6,0,6,7,5,6,3,5,7,5,3,6,1,3,6,9,7,1,1,3,4,1,0,2,6,5
36,4865,1,22,162869,10,0,65,0,-1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,4,1,3,2,3,2,3,1,3,2,2,0,2,1,4,7,2,0,3,1,7,1,6,6,0,3,1,7,0,1,1,3,4,1,0,2,6,5
37,39544,0,37,229647,9,0,42,0,-1,0,0,0,1,0,1,1,2,1,1,1,0,0,0,1,4,2,4,3,2,3,4,4,4,3,3,1,6,3,1,2,1,7,0,3,1,8,3,1,6,3,7,4,3,0,0,0,0,0,5,6,1,8,4
38,10941,1,58,373344,2,0,40,0,-1,0,1,0,1,0,1,2,0,1,1,3,2,1,2,1,2,0,1,3,2,5,0,0,4,3,1,4,1,0,1,7,4,4,2,3,8,6,2,1,6,8,4,0,5,0,1,2,2,3,4,5,4,7,6
39,15482,1,28,114053,10,0,30,0,-1,1,0,0,1,0,0,0,0,2,1,0,1,2,1,1,0,1,2,4,2,0,5,2,3,0,2,6,5,1,2,5,5,0,3,3,2,5,8,8,6,7,1,3,4,5,0,1,3,1,0,1,0,1,8
40,4878,1,29,206351,6,5013,40,0,-1,0,1,0,1,0,1,0,0,2,1,1,3,2,1,1,2,3,2,2,2,5,0,2,0,3,3,5,5,2,2,1,2,0,0,3,6,1,8,1,6,8,5,3,8,1,1,1,1,2,4,0,6,4,2
41,13433,1,44,175641,7,0,40,1,-1,1,0,0,1,0,1,0,0,1,1,3,1,1,2,1,2,1,1,3,2,1,5,0,4,0,5,6,1,0,1,2,5,4,2,3,7,2,2,5,6,8,9,0,8,5,0,1,3,1,0,3,0,3,1
42,4273,0,23,257621,13,0,45,0,-1,0,0,0,1,0,0,0,2,1,1,2,1,0,0,1,1,1,4,3,2,2,5,4,1,3,2,6,6,6,2,4,5,5,6,3,5,5,5,3,6,1,1,6,9,5,0,1,3,1,0,1,0,1,8
43,29060,1,28,314649,10,0,60,0,-1,0,1,0,1,0,1,0,2,1,1,2,1,0,2,1,4,4,4,3,2,2,2,4,1,0,6,2,6,2,1,0,0,3,0,3,1,2,1,6,6,0,9,4,7,7,1,1,3,4,1,3,7,3,1
44,30244,1,22,408383,10,0,40,0,-1,0,0,0,1,0,1,1,2,2,1,2,0,2,2,1,4,1,2,2,2,0,5,2,0,0,6,0,6,2,1,0,5,3,0,3,5,5,0,1,6,4,1,4,3,4,0,0,0,1,0,1,0,1,8
45,44331,1,39,256294,9,0,40,0,-1,0,0,0,1,0,1,1,0,1,1,1,0,0,2,1,4,2,2,2,2,1,4,4,0,0,6,1,6,2,1,2,3,3,0,3,5,4,0,4,6,8,0,4,8,4,0,0,0,0,5,2,3,5,9
46,25834,0,66,302072,12,0,40,0,-1,1,1,0,1,0,2,0,2,1,1,3,1,0,0,1,3,3,4,3,2,1,2,4,1,0,5,5,6,6,1,2,7,7,4,3,7,7,5,1,6,9,3,9,0,4,1,1,3,4,1,0,2,6,5
47,47079,0,46,178642,9,0,40,1,0,1,0,0,1,0,2,1,2,1,1,3,0,0,0,1,3,2,4,3,2,1,4,4,4,0,5,1,4,3,1,2,3,7,4,3,7,4,7,1,6,9,0,9,0,0,0,0,0,0,5,2,3,5,9
48,19148,0,17,225106,6,0,18,0,-1,0,1,0,1,0,1,0,2,1,1,2,1,0,2,1,2,4,3,1,2,0,2,5,2,0,3,2,2,4,2,1,0,6,5,3,2,2,4,2,6,5,9,7,6,7,1,1,3,4,1,3,7,3,1
