,Unnamed: 0.1,Unnamed: 0,gender,age,fnlwgt,education_num,capital_gain,hours_per_week,GroundTruth,GroundTruth_DB,FairDEN,Scalable,FairSC_normalized,FairSC,FairDen,Fairlet_MCF Fairlet2
0,0,32022,0,19,57145,9,0,25,0,-1,1,0,0,1,0,0
1,1,19593,0,17,146268,6,0,10,0,-1,0,1,0,1,1,0
2,2,29624,0,50,46155,11,0,40,1,-1,1,0,0,1,0,0
3,3,38344,0,45,184441,4,0,42,0,-1,0,0,0,1,1,0
4,4,30748,0,34,228406,10,0,40,0,-1,1,1,0,1,0,0
5,5,30558,0,29,197565,11,0,35,0,-1,1,1,0,1,0,0
6,6,31869,0,55,118993,10,0,10,0,-1,0,0,0,1,1,0
7,7,45182,1,52,146015,9,0,40,0,-1,1,0,0,1,0,0
8,8,13035,1,19,198668,9,0,40,0,-1,1,1,0,1,0,0
9,9,24247,1,38,115289,9,0,40,0,-1,1,0,0,1,0,0
10,10,43551,0,39,222530,10,0,40,0,-1,1,1,0,1,0,0
11,11,29137,1,21,181096,10,0,20,0,-1,1,1,0,1,0,0
12,12,18633,1,40,163455,10,0,55,1,-1,1,0,0,1,0,0
13,13,35513,0,45,86618,14,0,50,1,-1,1,0,0,1,0,0
14,14,16620,1,40,123306,11,0,40,1,-1,1,0,0,1,0,0
15,15,30674,1,17,169155,8,0,35,0,-1,1,1,0,1,0,0
16,16,17700,1,27,220748,9,0,48,0,-1,1,1,0,1,0,0
17,17,35703,0,28,402771,11,0,23,0,-1,0,1,0,1,1,0
18,18,2463,1,46,174224,11,0,40,0,-1,1,0,0,1,0,0
19,19,39379,0,31,192660,11,0,30,0,-1,0,1,0,1,1,0
20,20,42598,1,60,328011,10,0,20,0,-1,0,1,0,1,1,0
21,21,47294,1,39,233117,15,0,40,1,-1,1,1,1,0,0,0
22,22,37428,1,51,145105,10,0,30,0,-1,1,0,0,1,0,0
23,23,48266,1,32,244268,7,0,48,0,-1,0,1,0,1,1,0
24,24,5653,1,56,192869,9,0,40,1,-1,1,0,0,1,0,0
25,25,31570,0,31,190027,9,0,40,0,1,1,1,0,1,0,0
26,26,26782,1,49,122584,4,0,40,0,-1,0,0,0,1,1,0
27,27,41803,1,55,102058,13,0,40,1,-1,1,0,1,0,0,0
28,28,25694,1,36,67728,13,0,50,1,-1,1,0,1,0,0,0
29,29,39367,1,40,246949,9,0,40,0,-1,1,1,0,1,0,0
30,30,18533,0,20,238685,10,0,32,0,-1,1,1,0,1,0,0
31,31,11497,1,27,120126,13,0,45,1,-1,1,0,1,0,0,0
32,32,3617,1,17,354201,9,0,40,0,-1,1,1,0,1,0,0
