,marital,age,balance,duration,GroundTruth,GroundTruth_DB,FairDen,FairSC_normalized,FairSC
23641,2,43,1077,48,0,0,0,0,1
19562,2,32,4291,1321,1,0,1,0,1
14019,1,54,95,104,0,0,0,0,1
31464,1,41,523,232,0,0,0,1,1
6479,1,35,712,266,0,0,0,1,0
11358,1,60,6313,39,0,0,1,0,1
5952,1,33,941,218,0,0,0,1,0
32937,1,34,2076,257,0,0,0,1,1
37939,1,29,940,382,1,0,0,1,0
6858,1,36,428,121,0,0,0,1,0
20028,1,32,312,67,0,0,0,1,0
17651,1,34,147,57,0,0,0,1,0
7158,1,48,1910,413,0,0,1,0,1
13590,1,51,3180,384,0,0,1,0,1
28052,2,35,343,45,0,0,0,1,1
16179,0,48,485,84,0,0,0,0,1
16221,1,34,804,256,0,0,0,1,0
9945,1,41,0,65,0,0,0,1,1
26489,2,49,7426,65,0,0,1,0,1
34345,1,37,0,108,0,0,0,1,0
34323,1,41,0,400,1,0,0,0,1
42782,1,32,905,666,1,0,0,0,1
22642,2,33,369,143,0,0,0,1,1
179,1,51,1161,717,0,0,1,0,1
29287,2,31,863,146,0,0,0,1,1
39949,2,31,582,548,1,0,0,0,1
5006,1,38,63,518,0,0,0,0,1
1524,1,33,61,116,0,0,0,1,0
12409,1,51,-101,60,0,0,0,0,1
29324,1,32,4471,197,0,0,0,0,1
4654,1,58,99,215,0,0,0,0,1
35278,2,35,142,266,0,0,0,0,1
37674,2,46,-976,111,0,0,1,0,1
23692,1,36,432,65,0,0,0,1,0
15182,1,36,708,59,0,0,0,1,0
18306,1,37,704,183,0,0,0,1,0
16993,2,26,0,129,0,0,0,1,1
40079,2,29,2800,202,0,0,0,0,1
34296,2,35,188,863,1,0,1,0,1
10405,1,48,916,37,0,0,0,0,1
9911,1,60,2261,245,0,0,1,0,1
3559,1,42,1320,301,0,0,0,0,1
1937,2,31,12,330,0,0,0,0,1
11025,2,36,171,398,0,0,0,0,1
6910,2,40,-89,83,0,0,0,0,1
41990,1,33,386,253,1,0,0,1,0
40310,1,52,1113,83,0,0,0,0,1
40803,1,33,1737,228,0,0,0,1,0
10248,2,40,316,122,0,0,0,0,1
21708,0,35,82,152,0,0,0,1,1
18358,0,39,284,180,0,0,0,1,1
13639,1,52,350,156,0,0,0,0,1
17836,1,33,66,189,0,0,0,1,0
9874,1,50,861,117,0,0,0,0,1
2052,1,44,304,129,0,0,0,0,1
20670,1,45,-571,332,0,0,0,0,1
34511,0,28,6,211,0,0,0,1,1
40388,1,47,1167,505,1,0,1,0,1
28185,2,56,545,86,0,0,0,0,1
31900,2,34,47,232,0,0,0,0,1
43768,1,41,3126,222,1,0,0,0,1
43630,0,49,1405,29,0,0,0,0,1
34141,2,35,538,313,0,0,0,0,1
40547,1,31,10884,294,1,0,1,0,1
23412,1,41,1559,74,0,0,0,1,1
1205,1,40,103,135,0,0,0,1,1
12266,2,25,52,528,1,0,0,0,1
1504,1,41,393,110,0,0,0,1,1
36389,1,31,2190,25,0,0,1,1,0
24378,1,44,508,158,0,0,0,0,1
12136,1,52,945,16,0,0,0,0,1
14055,1,53,-670,86,0,0,0,0,1
29485,2,27,127,449,0,0,0,0,1
35470,1,45,264,113,0,0,0,0,1
1041,1,29,190,51,0,0,0,1,0
30351,2,60,473,175,0,0,0,0,1
9296,1,45,334,87,0,0,0,0,1
38043,0,51,94,77,0,0,0,0,1
29164,1,39,4,871,0,0,1,0,1
11533,1,56,5310,74,0,0,1,0,1
42274,1,30,1307,248,0,0,0,1,0
26468,1,59,6888,1025,1,0,1,0,1
39692,1,32,625,352,0,0,0,1,0
44883,1,77,397,207,0,0,1,0,1
42382,1,30,2166,316,1,0,0,1,0
19062,1,43,2126,92,0,0,0,0,1
29961,2,29,853,239,0,0,0,0,1
24232,1,36,5057,70,0,0,0,0,1
3703,2,43,2539,529,0,0,1,0,1
8532,2,40,1820,173,0,0,0,0,1
32145,1,48,543,152,0,0,0,0,1
30731,2,32,-359,122,0,0,0,1,1
924,2,30,112,245,0,0,0,1,1
