,Unnamed: 0.1,Unnamed: 0,address,failures,studytime,absences,Dalc,Medu,goout,GroundTruth,GroundTruth_DB,FairDen,Scalable,FairSC_normalized,FairSC,Fairlet_MCF Fairlet2
0,0,0,1,0,2,4,1,4,4,0,0,0,1,1,1,0
1,1,1,1,0,2,2,1,1,3,0,0,0,0,1,1,0
2,2,2,1,0,2,6,2,1,2,1,0,0,0,1,1,0
3,3,3,1,0,3,0,1,4,2,2,0,0,1,1,0,0
4,4,4,1,0,2,0,1,3,2,3,0,0,0,1,1,0
5,5,5,1,0,2,6,1,4,2,3,0,0,1,1,1,0
6,6,6,1,0,2,0,1,2,4,3,0,0,0,1,1,0
7,7,7,1,0,2,2,1,4,4,3,0,0,1,1,1,0
8,8,8,1,0,2,0,1,3,1,3,0,0,0,1,1,0
9,9,9,1,0,2,2,1,4,3,2,0,0,1,1,1,0
10,10,10,1,0,3,0,1,2,2,3,0,0,0,1,0,0
11,11,11,1,0,1,0,1,4,3,1,0,0,1,1,1,0
12,12,12,1,0,2,0,1,4,3,3,0,0,1,1,1,0
13,13,13,1,0,1,6,1,4,4,4,0,0,1,1,1,0
14,14,14,1,0,3,10,1,4,3,2,0,0,1,1,0,0
15,15,15,1,0,2,2,1,3,2,2,0,0,0,1,1,0
16,16,16,1,3,1,2,2,3,5,5,-1,1,1,0,1,0
17,17,17,1,0,1,6,1,4,3,1,0,0,1,1,1,0
18,18,18,1,0,2,0,1,4,1,2,0,0,1,1,0,0
19,19,19,1,0,1,0,1,4,2,1,0,0,1,1,1,0
20,20,20,1,0,2,2,2,2,4,6,0,0,1,1,1,0
21,21,21,0,0,3,2,1,2,2,6,0,0,0,1,1,0
22,22,22,1,0,1,6,1,2,2,1,0,0,0,0,1,0
23,23,23,1,0,1,8,1,2,2,1,0,0,0,0,1,0
24,24,24,1,0,1,0,2,4,4,0,0,0,1,1,1,0
25,25,25,1,0,2,2,1,3,3,3,0,0,0,1,1,0
26,26,26,1,0,2,4,5,4,5,1,-1,1,1,0,1,0
27,27,27,1,0,2,0,3,4,2,0,0,0,1,1,1,1
28,28,28,1,0,2,2,1,4,1,7,0,0,1,1,1,0
29,29,29,0,0,2,0,1,4,2,7,0,0,1,1,1,0
30,30,30,1,0,1,4,1,3,3,1,0,0,0,1,1,0
31,31,31,1,0,1,4,1,2,1,0,0,0,0,0,1,0
32,32,32,1,0,3,0,1,4,3,2,0,0,1,1,0,0
33,33,33,0,0,3,4,1,4,3,3,0,0,1,1,1,0
34,34,34,0,0,3,2,1,3,2,1,0,0,0,1,1,0
35,35,35,0,0,1,8,1,2,1,1,0,0,0,1,1,0
36,36,36,1,0,2,16,1,2,3,6,0,1,0,0,1,0
37,37,37,1,0,1,8,2,4,3,0,0,0,1,1,1,0
38,38,38,1,0,1,0,1,2,1,6,0,0,0,0,1,0
39,39,39,1,1,2,14,2,2,3,0,1,1,1,0,1,0
40,40,40,1,0,2,4,1,4,2,0,0,0,1,1,1,0
41,41,41,1,0,2,6,1,3,5,3,0,0,0,1,1,0
42,42,42,1,0,4,2,1,4,2,4,0,0,1,1,0,0
43,43,43,1,0,2,4,2,4,3,3,0,0,1,1,1,0
44,44,44,1,0,2,0,2,2,3,3,0,0,1,1,1,0
45,45,45,1,0,1,4,3,4,5,8,0,0,1,0,1,0
46,46,46,1,0,1,0,4,3,4,3,0,1,1,0,1,0
47,47,47,1,0,2,2,1,2,4,1,0,0,0,1,1,0
48,48,48,1,0,2,0,1,4,2,7,0,0,1,1,1,0
49,49,49,1,0,2,8,1,4,2,9,0,0,1,1,1,0
50,50,50,1,0,2,0,1,1,2,2,0,0,0,1,1,0
51,51,51,0,0,2,0,2,4,4,9,0,0,1,1,1,0
52,52,52,1,0,1,0,5,1,5,9,2,1,1,0,1,0
53,53,53,1,0,2,0,1,1,3,6,0,0,0,1,1,0
54,54,54,1,0,3,0,2,4,4,3,0,0,1,1,0,0
55,55,55,1,0,2,0,2,4,4,1,0,0,1,1,1,0
56,56,56,1,0,4,0,5,4,3,1,-1,1,1,1,1,0
57,57,57,1,0,4,0,1,3,3,6,0,0,0,1,0,0
58,58,58,0,0,2,0,1,2,3,0,0,0,0,1,1,0
59,59,59,0,0,4,6,2,3,2,7,0,0,1,1,1,0
60,60,60,1,0,4,2,1,3,2,0,0,0,0,1,0,0
61,61,61,1,0,4,0,1,4,3,6,0,0,1,1,0,0
62,62,62,0,0,2,2,2,1,4,0,0,0,0,0,1,0
63,63,63,1,0,1,0,2,3,2,2,0,0,1,1,1,0
64,64,64,1,0,2,4,2,3,3,0,0,0,1,1,1,0
65,65,65,1,0,2,0,2,4,3,0,0,0,1,1,1,0
