,sensitive_attr,address,sex,G3,failures,studytime,absences,Dalc,Medu,GroundTruth,GroundTruth_DB,FairDen,Scalable,FairSC_normalized,FairSC
0,2,1,0,0,0,2,4,1,4,0,0,0,1,1,1
1,2,1,0,0,0,2,2,1,1,0,0,0,1,1,1
2,2,1,0,1,0,2,6,2,1,1,0,0,0,1,1
3,2,1,0,2,0,3,0,1,4,2,0,0,1,1,1
4,2,1,0,3,0,2,0,1,3,3,0,0,1,1,1
5,3,1,1,3,0,2,6,1,4,3,0,0,1,1,0
6,3,1,1,3,0,2,0,1,2,3,0,0,1,1,0
7,2,1,0,3,0,2,2,1,4,3,0,0,1,1,1
8,3,1,1,4,0,2,0,1,3,4,0,0,1,1,0
9,2,1,0,3,0,3,0,1,2,3,0,0,1,1,1
10,3,1,1,1,0,1,0,1,4,1,0,0,1,1,0
11,3,1,1,3,0,2,0,1,4,3,0,0,1,1,0
12,3,1,1,5,0,3,0,1,2,5,0,0,1,1,0
13,2,1,0,4,0,1,6,1,4,4,0,0,1,1,1
14,2,1,0,2,0,3,10,1,4,2,0,0,1,1,1
15,2,1,0,2,0,2,2,1,3,2,0,0,1,1,1
16,3,1,1,6,3,1,2,2,3,6,1,1,0,0,0
17,3,1,1,1,0,1,6,1,4,1,0,0,1,1,0
18,3,1,1,7,0,2,2,2,2,7,0,0,0,1,0
19,0,0,0,7,0,3,2,1,2,7,0,0,1,1,0
20,2,1,0,1,0,1,6,1,2,1,0,0,1,1,1
21,3,1,1,1,0,1,8,1,2,1,0,0,1,1,0
22,3,1,1,0,0,1,0,2,4,0,0,0,0,1,0
23,3,1,1,3,0,2,2,1,3,3,0,0,1,1,0
24,3,1,1,1,0,2,4,5,4,1,0,1,0,1,0
25,3,1,1,0,0,2,0,3,4,0,0,0,0,1,0
26,3,1,1,5,0,2,2,1,4,5,0,0,1,1,0
27,1,0,1,5,0,2,0,1,4,5,0,0,1,1,1
28,3,1,1,1,0,1,4,1,3,1,0,0,1,1,0
29,2,1,0,0,0,1,4,1,2,0,0,0,1,1,1
30,3,1,1,2,0,3,0,1,4,2,0,0,1,1,0
31,1,0,1,3,0,3,4,1,4,3,0,0,1,1,1
32,0,0,0,1,0,3,2,1,3,1,0,0,1,1,0
33,0,0,0,1,0,1,8,1,2,1,0,0,1,1,0
34,2,1,0,7,0,2,16,1,2,7,0,1,1,0,1
35,3,1,1,0,0,1,8,2,4,0,0,0,0,1,0
36,3,1,1,7,0,1,0,1,2,7,0,0,1,1,0
37,2,1,0,0,1,2,14,2,2,0,0,1,0,0,1
38,2,1,0,3,0,2,6,1,3,3,0,0,1,1,1
39,3,1,1,4,0,4,2,1,4,4,0,0,1,1,0
40,3,1,1,3,0,2,4,2,4,3,0,0,0,1,0
41,2,1,0,3,0,2,0,2,2,3,0,0,0,1,1
42,2,1,0,8,0,2,0,1,4,8,0,0,1,1,1
43,3,1,1,9,0,1,4,3,4,9,0,0,0,0,0
44,2,1,0,1,0,1,0,2,4,1,0,0,0,1,1
45,2,1,0,3,0,1,0,4,3,3,0,1,0,1,1
46,2,1,0,1,0,2,2,1,2,1,0,0,1,1,1
47,3,1,1,8,0,2,8,1,4,8,0,0,1,1,0
48,3,1,1,2,0,2,0,1,1,2,0,0,1,1,0
49,0,0,0,8,0,2,0,2,4,8,0,0,0,1,0
50,2,1,0,8,0,1,0,5,1,8,0,1,0,1,1
51,2,1,0,7,0,2,0,1,1,7,0,0,1,0,1
52,2,1,0,3,0,3,0,2,4,3,0,0,0,1,1
53,2,1,0,1,0,2,0,2,4,1,0,0,0,1,1
54,3,1,1,1,0,4,0,5,4,1,-1,1,0,1,0
55,2,1,0,7,0,4,0,1,3,7,0,0,1,1,1
56,0,0,0,0,0,2,0,1,2,0,0,0,1,1,0
57,0,0,0,5,0,4,6,2,3,5,0,0,0,1,0
58,3,1,1,0,0,4,2,1,3,0,0,0,1,1,0
59,3,1,1,7,0,4,0,1,4,7,0,0,1,1,0
60,0,0,0,0,0,2,2,2,1,0,0,0,0,1,0
61,3,1,1,2,0,1,0,2,3,2,0,0,0,1,0
62,2,1,0,0,0,2,4,2,3,0,0,0,0,1,1
63,3,1,1,0,0,2,0,2,4,0,0,0,0,1,0
64,2,1,0,3,0,4,1,1,2,3,0,0,1,1,1
65,3,1,1,7,3,1,0,1,2,7,1,1,1,0,0
66,2,1,0,0,0,2,14,1,3,0,0,0,1,1,1
67,3,1,1,9,0,3,2,1,2,9,0,0,1,1,0
68,2,1,0,0,0,2,4,1,3,0,0,0,1,1,1
69,3,1,1,3,0,2,2,1,2,3,0,0,1,1,0
70,2,1,0,1,0,2,2,2,1,1,0,0,0,1,1
71,2,1,0,1,0,2,4,2,4,1,0,0,0,1,1
72,2,1,0,0,0,2,6,1,2,0,0,0,1,1,1
73,2,1,0,5,0,3,4,1,4,5,0,0,1,1,1
74,3,1,1,0,0,2,6,1,2,0,0,0,1,1,0
75,3,1,1,7,0,2,6,3,4,7,0,0,0,1,0
76,2,1,0,0,0,3,2,1,3,0,0,0,1,1,1
77,2,1,0,1,0,2,0,2,3,1,0,0,0,1,1
78,3,1,1,1,0,4,2,1,2,1,0,0,1,1,0
79,0,0,0,3,0,4,4,1,1,3,0,0,1,1,0
80,1,0,1,0,0,1,6,1,4,0,0,0,1,1,1
81,2,1,0,1,0,2,0,1,2,1,0,0,1,1,1
82,2,1,0,3,0,1,4,1,4,3,0,0,1,1,1
83,2,1,0,3,0,3,2,1,4,3,0,0,1,1,1
84,3,1,1,10,0,1,12,5,4,10,0,1,0,0,0
85,3,1,1,1,0,1,2,1,4,1,0,0,1,1,0
86,2,1,0,7,0,2,16,1,3,7,0,0,1,0,1
87,2,1,0,7,0,4,10,1,3,7,0,1,1,1,1
88,2,1,0,7,0,4,4,1,2,7,0,0,1,1,1
89,3,1,1,2,0,3,4,1,3,2,0,0,1,1,0
90,1,0,1,0,0,4,8,3,4,0,0,1,0,1,1
91,3,1,1,2,0,1,4,1,4,2,0,0,1,1,0
92,0,0,0,0,0,3,4,1,3,0,0,0,1,1,0
93,2,1,0,7,1,2,12,1,2,7,0,1,1,0,1
94,3,1,1,11,0,1,10,1,4,11,0,0,1,1,0
95,1,0,1,7,0,2,4,1,2,7,0,0,1,1,1
96,3,1,1,8,0,2,4,1,4,8,0,0,1,1,0
97,3,1,1,5,0,1,6,1,3,5,0,0,1,1,0
98,1,0,1,0,1,2,14,1,1,0,0,1,1,1,1
99,3,1,1,2,0,1,2,1,3,2,0,0,1,1,0
100,3,1,1,3,0,4,6,1,2,3,0,0,1,1,0
101,3,1,1,9,0,1,2,3,3,9,0,0,0,0,0
102,2,1,0,0,2,2,0,1,0,0,0,1,1,0,1
103,1,0,1,5,0,1,8,2,4,5,0,0,0,1,1
104,3,1,1,3,0,3,4,2,2,3,0,0,0,1,0
105,0,0,0,1,0,3,0,2,3,1,0,0,0,1,0
106,2,1,0,10,3,2,10,1,2,10,-1,1,1,0,1
107,2,1,0,0,0,1,8,1,2,0,0,0,1,1,1
108,2,1,0,3,0,1,6,1,1,3,0,0,1,1,1
109,2,1,0,1,0,1,2,1,2,1,0,0,1,1,1
110,2,1,0,2,0,1,12,1,3,2,0,0,1,1,1
111,3,1,1,0,0,1,4,1,2,0,0,0,1,1,0
112,2,1,0,0,1,1,12,1,2,0,0,1,1,0,1
113,1,0,1,0,0,2,2,1,3,0,0,0,1,1,1
114,1,0,1,7,0,2,2,2,3,7,0,0,0,1,1
115,0,0,0,3,0,2,0,1,1,3,0,0,1,1,0
116,3,1,1,1,0,1,2,4,3,1,0,1,0,1,0
117,2,1,0,0,0,3,10,5,3,0,-1,1,0,1,1
118,0,0,0,0,0,1,8,1,1,0,0,0,1,1,0
119,2,1,0,7,0,1,4,1,3,7,0,0,1,1,1
120,3,1,1,7,2,2,0,1,1,7,0,1,1,0,0
121,0,0,0,9,1,1,2,1,1,9,0,1,1,0,0
122,3,1,1,0,0,4,6,1,4,0,0,0,1,1,0
123,2,1,0,9,0,2,24,2,3,9,-1,1,0,0,1
124,3,1,1,0,0,1,4,2,2,0,0,0,0,1,0
125,2,1,0,0,0,1,4,3,1,0,0,0,0,1,1
126,3,1,1,12,0,1,22,1,2,12,0,1,1,0,0
127,2,1,0,7,0,1,0,1,2,7,0,0,1,0,1
128,2,1,0,0,1,2,2,1,3,0,0,1,1,1,1
129,2,1,0,3,0,2,6,1,1,3,0,0,1,1,1
130,3,1,1,10,0,1,16,2,4,10,0,1,0,0,0
131,3,1,1,0,0,1,0,2,2,0,0,0,0,1,0
132,3,1,1,13,2,1,0,2,1,13,0,1,0,0,0
133,3,1,1,7,1,1,6,3,2,7,0,1,0,0,0
134,0,0,0,3,0,3,2,2,3,3,0,0,0,1,0
135,2,1,0,3,0,1,0,1,4,3,0,0,1,1,1
136,1,0,1,10,0,2,0,1,2,10,0,0,1,1,1
137,1,0,1,7,3,1,14,3,1,7,-1,1,0,0,1
138,0,0,0,0,3,1,6,1,1,0,1,1,1,0,0
139,1,0,1,0,0,1,4,1,2,0,0,0,1,1,1
140,3,1,1,14,1,2,0,4,3,-1,-1,1,0,0,0
141,3,1,1,7,2,1,0,3,1,7,0,1,0,0,0
142,1,0,1,9,1,1,8,2,2,9,0,1,0,0,1
143,1,0,1,10,2,2,4,1,3,10,0,1,1,0,1
144,3,1,1,7,0,1,2,2,1,7,0,0,0,0,0
145,3,1,1,10,1,1,2,1,1,10,0,1,1,0,0
146,1,0,1,10,0,2,0,1,1,10,0,0,1,1,1
147,3,1,1,10,3,1,10,1,3,10,1,1,1,0,1
148,3,1,1,0,0,2,0,2,2,0,0,0,0,1,0
149,3,1,1,7,1,1,4,2,3,7,0,1,0,0,0
150,3,1,1,0,0,2,0,4,4,0,0,1,0,1,0
