minPts,epsilon,n_clusters,DCSI,Balance,Noise%
4,0.01,11,0.0,1.0,89.86
4,0.05,11,0.0,1.0,89.86
4,0.1,11,0.0,1.0,89.86
4,0.2,18,0.0,0.7546,72.58
4,0.3,18,0.0,0.7546,72.58
4,0.4,29,0.0,0.6624,43.09
4,0.5,29,0.0,0.6624,43.09
4,0.6,29,0.0,0.6669,41.01
4,0.7,29,0.0,0.6669,41.01
4,0.8,31,0.0,0.6472,33.64
4,0.9,14,0.0,0.6466,26.96
4,1.0,11,0.0,0.6063,15.21
4,1.1,11,0.0,0.572,13.13
4,1.2,6,0.0,0.6878,9.68
4,1.3,6,0.0,0.6874,8.06
4,1.4,5,0.0,0.7235,6.22
4,1.5,3,0.0,0.7903,3.92
4,1.6,1,0.0,1.0,3.23
4,1.7,1,0.0,1.0,2.76
4,1.8,1,0.0,1.0,2.07
4,1.9,1,0.0,1.0,1.84
4,2.0,1,0.0,1.0,0.92
4,2.1,1,0.0,1.0,0.92
4,2.2,1,0.0,1.0,0.92
4,2.3,1,0.0,1.0,0.92
4,2.4,1,0.0,1.0,0.92
4,2.5,1,0.0,1.0,0.46
4,2.6,1,0.0,1.0,0.23
4,2.8,1,0.0,1.0,0.0
4,3.0,1,0.0,1.0,0.0
4,3.25,1,0.0,1.0,0.0
4,3.5,1,0.0,1.0,0.0
4,3.75,1,0.0,1.0,0.0
5,0.01,0,0.0,0.0,100.0
5,0.05,0,0.0,0.0,100.0
5,0.1,0,0.0,0.0,100.0
5,0.2,13,0.0,0.7407,79.03
5,0.3,13,0.0,0.7407,79.03
5,0.4,20,0.0,0.7118,52.53
5,0.5,20,0.0,0.7118,52.53
5,0.6,21,0.0,0.7133,49.31
5,0.7,21,0.0,0.7133,49.31
5,0.8,26,0.0,0.6846,38.94
5,0.9,9,0.7732,0.704,32.72
5,1.0,7,0.0,0.7641,21.89
5,1.1,8,0.0,0.6864,17.97
5,1.2,4,0.7891,0.5595,13.13
5,1.3,4,0.0,0.6363,11.29
5,1.4,5,0.0,0.7254,7.37
5,1.5,2,0.8,0.7297,5.3
5,1.6,1,0.0,1.0,4.38
5,1.7,1,0.0,1.0,3.23
5,1.8,1,0.0,1.0,2.07
5,1.9,1,0.0,1.0,1.84
5,2.0,1,0.0,1.0,1.15
5,2.1,1,0.0,1.0,0.92
5,2.2,1,0.0,1.0,0.92
5,2.3,1,0.0,1.0,0.92
5,2.4,1,0.0,1.0,0.92
5,2.5,1,0.0,1.0,0.46
5,2.6,1,0.0,1.0,0.46
5,2.8,1,0.0,1.0,0.0
5,3.0,1,0.0,1.0,0.0
5,3.25,1,0.0,1.0,0.0
5,3.5,1,0.0,1.0,0.0
5,3.75,1,0.0,1.0,0.0
9,0.01,0,0.0,0.0,100.0
9,0.05,0,0.0,0.0,100.0
9,0.1,0,0.0,0.0,100.0
9,0.2,1,0.0,1.0,97.93
9,0.3,1,0.0,1.0,97.93
9,0.4,8,0.9348,0.8514,75.81
9,0.5,8,0.9348,0.8514,75.81
9,0.6,8,0.9348,0.7824,73.27
9,0.7,8,0.9348,0.7824,73.27
9,0.8,10,0.9006,0.7802,65.9
9,0.9,8,0.0,0.7603,48.16
9,1.0,5,0.7606,0.8012,27.65
9,1.1,6,0.7492,0.7358,23.5
9,1.2,2,0.6334,0.8248,19.59
9,1.3,2,0.6334,0.8339,19.35
9,1.4,2,0.6334,0.8643,14.75
9,1.5,1,0.0,1.0,11.75
9,1.6,1,0.0,1.0,9.45
9,1.7,3,0.0,0.5637,5.76
9,1.8,1,0.0,1.0,2.53
9,1.9,1,0.0,1.0,2.07
9,2.0,1,0.0,1.0,1.15
9,2.1,1,0.0,1.0,1.15
9,2.2,1,0.0,1.0,0.92
9,2.3,1,0.0,1.0,0.92
9,2.4,1,0.0,1.0,0.92
9,2.5,1,0.0,1.0,0.46
9,2.6,1,0.0,1.0,0.46
9,2.8,1,0.0,1.0,0.46
9,3.0,1,0.0,1.0,0.0
9,3.25,1,0.0,1.0,0.0
9,3.5,1,0.0,1.0,0.0
9,3.75,1,0.0,1.0,0.0
10,0.01,0,0.0,0.0,100.0
10,0.05,0,0.0,0.0,100.0
10,0.1,0,0.0,0.0,100.0
10,0.2,0,0.0,0.0,100.0
10,0.3,0,0.0,0.0,100.0
10,0.4,5,0.9239,0.8868,82.49
10,0.5,5,0.9239,0.8868,82.49
10,0.6,6,0.9252,0.8596,79.03
10,0.7,6,0.9252,0.8596,79.03
10,0.8,8,0.9348,0.7677,70.28
10,0.9,6,0.6701,0.7635,53.23
10,1.0,5,0.7614,0.7959,28.8
10,1.1,5,0.7555,0.8096,26.04
10,1.2,2,0.6334,0.8284,20.28
10,1.3,2,0.6334,0.8352,19.59
10,1.4,2,0.6334,0.8577,16.59
10,1.5,1,0.0,1.0,11.98
10,1.6,1,0.0,1.0,9.45
10,1.7,1,0.0,1.0,8.06
10,1.8,1,0.0,1.0,3.23
10,1.9,1,0.0,1.0,2.07
10,2.0,1,0.0,1.0,1.15
10,2.1,1,0.0,1.0,1.15
10,2.2,1,0.0,1.0,0.92
10,2.3,1,0.0,1.0,0.92
10,2.4,1,0.0,1.0,0.92
10,2.5,1,0.0,1.0,0.46
10,2.6,1,0.0,1.0,0.46
10,2.8,1,0.0,1.0,0.46
10,3.0,1,0.0,1.0,0.0
10,3.25,1,0.0,1.0,0.0
10,3.5,1,0.0,1.0,0.0
10,3.75,1,0.0,1.0,0.0
15,0.01,0,0.0,0.0,100.0
15,0.05,0,0.0,0.0,100.0
15,0.1,0,0.0,0.0,100.0
15,0.2,0,0.0,0.0,100.0
15,0.3,0,0.0,0.0,100.0
15,0.4,0,0.0,0.0,100.0
15,0.5,0,0.0,0.0,100.0
15,0.6,1,0.0,1.0,96.54
15,0.7,1,0.0,1.0,96.54
15,0.8,4,0.9198,0.8493,82.72
15,0.9,2,0.6077,0.9332,70.97
15,1.0,3,0.6683,0.7995,41.71
15,1.1,5,0.7625,0.7389,30.88
15,1.2,2,0.6334,0.804,25.35
15,1.3,3,0.5567,0.7046,23.27
15,1.4,2,0.6334,0.8259,19.12
15,1.5,1,0.0,1.0,14.98
15,1.6,1,0.0,1.0,13.13
15,1.7,1,0.0,1.0,11.75
15,1.8,1,0.0,1.0,5.99
15,1.9,1,0.0,1.0,3.69
15,2.0,1,0.0,1.0,2.53
15,2.1,1,0.0,1.0,1.38
15,2.2,1,0.0,1.0,1.15
15,2.3,1,0.0,1.0,1.15
15,2.4,1,0.0,1.0,0.92
15,2.5,1,0.0,1.0,0.46
15,2.6,1,0.0,1.0,0.46
15,2.8,1,0.0,1.0,0.46
15,3.0,1,0.0,1.0,0.23
15,3.25,1,0.0,1.0,0.0
15,3.5,1,0.0,1.0,0.0
15,3.75,1,0.0,1.0,0.0
