minPts,epsilon,n_clusters,DCSI,Balance,Noise%
4,0.01,0,0.0,0.0,100.0
4,0.05,0,0.0,0.0,100.0
4,0.1,0,0.0,0.0,100.0
4,0.2,0,0.0,0.0,100.0
4,0.3,8,0.0,0.7857,93.27
4,0.4,8,0.0,0.7857,93.27
4,0.5,24,0.0,0.7385,75.45
4,0.6,24,0.0,0.7385,75.45
4,0.7,24,0.0,0.74,74.46
4,0.8,24,0.0,0.74,74.46
4,0.9,15,0.0,0.6883,38.61
4,1.0,7,0.0,0.7447,29.11
4,1.1,8,0.0,0.6327,25.54
4,1.2,6,0.0,0.6275,20.79
4,1.3,4,0.7572,0.5981,14.65
4,1.4,6,0.0,0.4663,12.28
4,1.5,5,0.7336,0.5802,10.69
4,1.6,2,0.0,0.8406,6.93
4,1.7,2,0.0,0.9272,6.34
4,1.8,1,0.0,1.0,4.16
4,1.9,1,0.0,1.0,2.77
4,2.0,1,0.0,1.0,2.18
4,2.1,1,0.0,1.0,1.58
4,2.2,1,0.0,1.0,1.58
4,2.3,1,0.0,1.0,1.19
4,2.4,1,0.0,1.0,0.99
4,2.5,1,0.0,1.0,0.79
4,2.6,1,0.0,1.0,0.79
4,2.8,1,0.0,1.0,0.4
4,3.0,1,0.0,1.0,0.4
4,3.25,1,0.0,1.0,0.0
4,3.5,1,0.0,1.0,0.0
4,3.75,1,0.0,1.0,0.0
5,0.01,0,0.0,0.0,100.0
5,0.05,0,0.0,0.0,100.0
5,0.1,0,0.0,0.0,100.0
5,0.2,0,0.0,0.0,100.0
5,0.3,2,0.0,0.8,98.02
5,0.4,2,0.0,0.8,98.02
5,0.5,10,0.0,0.8278,88.51
5,0.6,10,0.0,0.8278,88.51
5,0.7,12,0.0,0.8208,85.15
5,0.8,12,0.0,0.8208,85.15
5,0.9,9,0.0,0.639,48.71
5,1.0,5,0.7642,0.7763,31.88
5,1.1,6,0.0,0.7816,28.51
5,1.2,3,0.0,0.6724,25.35
5,1.3,4,0.7691,0.5691,15.84
5,1.4,4,0.7573,0.579,14.26
5,1.5,5,0.0,0.5846,12.28
5,1.6,1,0.0,1.0,8.51
5,1.7,2,0.0,0.9291,6.73
5,1.8,1,0.0,1.0,5.15
5,1.9,1,0.0,1.0,3.56
5,2.0,1,0.0,1.0,2.38
5,2.1,1,0.0,1.0,1.78
5,2.2,1,0.0,1.0,1.58
5,2.3,1,0.0,1.0,1.19
5,2.4,1,0.0,1.0,0.99
5,2.5,1,0.0,1.0,0.79
5,2.6,1,0.0,1.0,0.79
5,2.8,1,0.0,1.0,0.4
5,3.0,1,0.0,1.0,0.4
5,3.25,1,0.0,1.0,0.0
5,3.5,1,0.0,1.0,0.0
5,3.75,1,0.0,1.0,0.0
10,0.01,0,0.0,0.0,100.0
10,0.05,0,0.0,0.0,100.0
10,0.1,0,0.0,0.0,100.0
10,0.2,0,0.0,0.0,100.0
10,0.3,0,0.0,0.0,100.0
10,0.4,0,0.0,0.0,100.0
10,0.5,0,0.0,0.0,100.0
10,0.6,0,0.0,0.0,100.0
10,0.7,0,0.0,0.0,100.0
10,0.8,0,0.0,0.0,100.0
10,0.9,5,0.5284,0.8014,73.27
10,1.0,3,0.6638,0.8781,52.08
10,1.1,4,0.6244,0.7545,43.56
10,1.2,1,0.0,1.0,36.24
10,1.3,1,0.0,1.0,27.52
10,1.4,2,0.579,0.7631,22.77
10,1.5,2,0.579,0.7722,20.2
10,1.6,1,0.0,1.0,15.05
10,1.7,1,0.0,1.0,14.26
10,1.8,1,0.0,1.0,9.5
10,1.9,1,0.0,1.0,7.13
10,2.0,2,0.6626,0.9849,3.17
10,2.1,2,0.0,0.7896,2.38
10,2.2,1,0.0,1.0,1.78
10,2.3,1,0.0,1.0,1.39
10,2.4,1,0.0,1.0,0.99
10,2.5,1,0.0,1.0,0.79
10,2.6,1,0.0,1.0,0.79
10,2.8,1,0.0,1.0,0.59
10,3.0,1,0.0,1.0,0.4
10,3.25,1,0.0,1.0,0.2
10,3.5,1,0.0,1.0,0.2
10,3.75,1,0.0,1.0,0.0
11,0.01,0,0.0,0.0,100.0
11,0.05,0,0.0,0.0,100.0
11,0.1,0,0.0,0.0,100.0
11,0.2,0,0.0,0.0,100.0
11,0.3,0,0.0,0.0,100.0
11,0.4,0,0.0,0.0,100.0
11,0.5,0,0.0,0.0,100.0
11,0.6,0,0.0,0.0,100.0
11,0.7,0,0.0,0.0,100.0
11,0.8,0,0.0,0.0,100.0
11,0.9,4,0.5625,0.8356,78.42
11,1.0,3,0.6638,0.8771,54.06
11,1.1,3,0.6555,0.8943,46.93
11,1.2,1,0.0,1.0,37.62
11,1.3,1,0.0,1.0,28.91
11,1.4,1,0.0,1.0,27.33
11,1.5,2,0.579,0.7911,20.79
11,1.6,1,0.0,1.0,16.04
11,1.7,1,0.0,1.0,14.65
11,1.8,1,0.0,1.0,10.69
11,1.9,1,0.0,1.0,8.71
11,2.0,1,0.0,1.0,5.35
11,2.1,1,0.0,1.0,3.76
11,2.2,1,0.0,1.0,1.98
11,2.3,1,0.0,1.0,1.58
11,2.4,1,0.0,1.0,1.39
11,2.5,1,0.0,1.0,0.99
11,2.6,1,0.0,1.0,0.79
11,2.8,1,0.0,1.0,0.59
11,3.0,1,0.0,1.0,0.4
11,3.25,1,0.0,1.0,0.2
11,3.5,1,0.0,1.0,0.2
11,3.75,1,0.0,1.0,0.0
15,0.01,0,0.0,0.0,100.0
15,0.05,0,0.0,0.0,100.0
15,0.1,0,0.0,0.0,100.0
15,0.2,0,0.0,0.0,100.0
15,0.3,0,0.0,0.0,100.0
15,0.4,0,0.0,0.0,100.0
15,0.5,0,0.0,0.0,100.0
15,0.6,0,0.0,0.0,100.0
15,0.7,0,0.0,0.0,100.0
15,0.8,0,0.0,0.0,100.0
15,0.9,1,0.0,1.0,97.03
15,1.0,2,0.574,0.8918,65.94
15,1.1,3,0.6638,0.8543,57.62
15,1.2,1,0.0,1.0,45.54
15,1.3,1,0.0,1.0,31.09
15,1.4,1,0.0,1.0,28.71
15,1.5,1,0.0,1.0,26.93
15,1.6,1,0.0,1.0,17.82
15,1.7,1,0.0,1.0,16.04
15,1.8,1,0.0,1.0,13.07
15,1.9,1,0.0,1.0,9.9
15,2.0,1,0.0,1.0,6.73
15,2.1,1,0.0,1.0,4.95
15,2.2,1,0.0,1.0,3.37
15,2.3,1,0.0,1.0,2.38
15,2.4,1,0.0,1.0,1.39
15,2.5,1,0.0,1.0,1.19
15,2.6,1,0.0,1.0,1.19
15,2.8,1,0.0,1.0,0.59
15,3.0,1,0.0,1.0,0.59
15,3.25,1,0.0,1.0,0.2
15,3.5,1,0.0,1.0,0.2
15,3.75,1,0.0,1.0,0.0
