minPts,epsilon,n_clusters,DCSI,Balance,Noise%
4,0.01,0,0.0,0.0,100.0
4,0.05,0,0.0,0.0,100.0
4,0.1,0,0.0,0.0,100.0
4,0.2,12,0.0,0.7942,81.22
4,0.3,12,0.0,0.7942,81.22
4,0.4,23,0.0,0.7784,52.91
4,0.5,23,0.0,0.7784,52.91
4,0.6,24,0.0,0.7321,49.74
4,0.7,24,0.0,0.7321,49.74
4,0.8,28,0.0,0.6686,40.74
4,0.9,12,0.0,0.7159,32.8
4,1.0,10,0.0,0.6367,15.61
4,1.1,4,0.0,0.7241,14.81
4,1.2,6,0.0,0.744,10.85
4,1.3,5,0.0,0.7788,8.73
4,1.4,2,0.8,0.7331,7.14
4,1.5,1,0.0,1.0,3.97
4,1.6,1,0.0,1.0,3.17
4,1.7,1,0.0,1.0,2.91
4,1.8,1,0.0,1.0,2.38
4,1.9,1,0.0,1.0,1.32
4,2.0,1,0.0,1.0,1.06
4,2.1,1,0.0,1.0,1.06
4,2.2,1,0.0,1.0,1.06
4,2.3,1,0.0,1.0,1.06
4,2.4,1,0.0,1.0,0.53
4,2.5,1,0.0,1.0,0.53
4,2.6,1,0.0,1.0,0.0
4,2.8,1,0.0,1.0,0.0
4,3.0,1,0.0,1.0,0.0
4,3.25,1,0.0,1.0,0.0
4,3.5,1,0.0,1.0,0.0
4,3.75,1,0.0,1.0,0.0
5,0.01,0,0.0,0.0,100.0
5,0.05,0,0.0,0.0,100.0
5,0.1,0,0.0,0.0,100.0
5,0.2,15,0.0,0.7851,82.28
5,0.3,15,0.0,0.7851,82.28
5,0.4,18,0.0,0.7834,61.64
5,0.5,18,0.0,0.7834,61.64
5,0.6,21,0.0,0.7665,55.56
5,0.7,21,0.0,0.7665,55.56
5,0.8,23,0.0,0.725,46.56
5,0.9,9,0.7665,0.7269,37.3
5,1.0,8,0.0,0.6424,21.69
5,1.1,2,0.6167,0.8286,19.58
5,1.2,3,0.799,0.6678,14.55
5,1.3,4,0.0,0.6963,11.11
5,1.4,2,0.8,0.7338,7.41
5,1.5,1,0.0,1.0,5.03
5,1.6,1,0.0,1.0,3.7
5,1.7,1,0.0,1.0,2.91
5,1.8,1,0.0,1.0,2.38
5,1.9,1,0.0,1.0,1.32
5,2.0,1,0.0,1.0,1.32
5,2.1,1,0.0,1.0,1.06
5,2.2,1,0.0,1.0,1.06
5,2.3,1,0.0,1.0,1.06
5,2.4,1,0.0,1.0,0.53
5,2.5,1,0.0,1.0,0.53
5,2.6,1,0.0,1.0,0.0
5,2.8,1,0.0,1.0,0.0
5,3.0,1,0.0,1.0,0.0
5,3.25,1,0.0,1.0,0.0
5,3.5,1,0.0,1.0,0.0
5,3.75,1,0.0,1.0,0.0
9,0.01,0,0.0,0.0,100.0
9,0.05,0,0.0,0.0,100.0
9,0.1,0,0.0,0.0,100.0
9,0.2,0,0.0,0.0,100.0
9,0.3,0,0.0,0.0,100.0
9,0.4,0,0.0,0.0,100.0
9,0.5,0,0.0,0.0,100.0
9,0.6,2,0.9572,0.9798,92.86
9,0.7,2,0.9572,0.9798,92.86
9,0.8,7,0.9293,0.7405,76.98
9,0.9,4,0.6697,0.9178,62.7
9,1.0,5,0.7566,0.8464,29.89
9,1.1,2,0.6167,0.8682,26.19
9,1.2,2,0.6167,0.8655,21.96
9,1.3,2,0.6167,0.8645,21.16
9,1.4,1,0.0,1.0,15.61
9,1.5,1,0.0,1.0,10.85
9,1.6,1,0.0,1.0,9.52
9,1.7,1,0.0,1.0,4.5
9,1.8,1,0.0,1.0,2.91
9,1.9,1,0.0,1.0,1.59
9,2.0,1,0.0,1.0,1.32
9,2.1,1,0.0,1.0,1.06
9,2.2,1,0.0,1.0,1.06
9,2.3,1,0.0,1.0,1.06
9,2.4,1,0.0,1.0,0.53
9,2.5,1,0.0,1.0,0.53
9,2.6,1,0.0,1.0,0.53
9,2.8,1,0.0,1.0,0.53
9,3.0,1,0.0,1.0,0.0
9,3.25,1,0.0,1.0,0.0
9,3.5,1,0.0,1.0,0.0
9,3.75,1,0.0,1.0,0.0
10,0.01,0,0.0,0.0,100.0
10,0.05,0,0.0,0.0,100.0
10,0.1,0,0.0,0.0,100.0
10,0.2,0,0.0,0.0,100.0
10,0.3,0,0.0,0.0,100.0
10,0.4,0,0.0,0.0,100.0
10,0.5,0,0.0,0.0,100.0
10,0.6,2,0.9572,0.9259,93.65
10,0.7,2,0.9572,0.9259,93.65
10,0.8,5,0.9204,0.8029,82.8
10,0.9,4,0.6697,0.9126,67.72
10,1.0,5,0.7571,0.8515,30.69
10,1.1,2,0.6167,0.9395,29.37
10,1.2,2,0.6167,0.8236,23.02
10,1.3,2,0.6167,0.8847,21.69
10,1.4,1,0.0,1.0,17.2
10,1.5,1,0.0,1.0,12.43
10,1.6,1,0.0,1.0,11.11
10,1.7,1,0.0,1.0,5.29
10,1.8,1,0.0,1.0,3.7
10,1.9,1,0.0,1.0,1.85
10,2.0,1,0.0,1.0,1.32
10,2.1,1,0.0,1.0,1.06
10,2.2,1,0.0,1.0,1.06
10,2.3,1,0.0,1.0,1.06
10,2.4,1,0.0,1.0,0.53
10,2.5,1,0.0,1.0,0.53
10,2.6,1,0.0,1.0,0.53
10,2.8,1,0.0,1.0,0.53
10,3.0,1,0.0,1.0,0.0
10,3.25,1,0.0,1.0,0.0
10,3.5,1,0.0,1.0,0.0
10,3.75,1,0.0,1.0,0.0
15,0.01,0,0.0,0.0,100.0
15,0.05,0,0.0,0.0,100.0
15,0.1,0,0.0,0.0,100.0
15,0.2,0,0.0,0.0,100.0
15,0.3,0,0.0,0.0,100.0
15,0.4,0,0.0,0.0,100.0
15,0.5,0,0.0,0.0,100.0
15,0.6,0,0.0,0.0,100.0
15,0.7,0,0.0,0.0,100.0
15,0.8,0,0.0,0.0,100.0
15,0.9,3,0.5679,0.9248,87.83
15,1.0,3,0.6668,0.8277,45.5
15,1.1,1,0.0,1.0,36.77
15,1.2,2,0.6167,0.7824,29.89
15,1.3,2,0.6098,0.855,25.13
15,1.4,1,0.0,1.0,19.84
15,1.5,1,0.0,1.0,15.08
15,1.6,1,0.0,1.0,13.76
15,1.7,1,0.0,1.0,8.73
15,1.8,1,0.0,1.0,6.35
15,1.9,1,0.0,1.0,2.91
15,2.0,1,0.0,1.0,2.38
15,2.1,1,0.0,1.0,1.32
15,2.2,1,0.0,1.0,1.32
15,2.3,1,0.0,1.0,1.06
15,2.4,1,0.0,1.0,0.53
15,2.5,1,0.0,1.0,0.53
15,2.6,1,0.0,1.0,0.53
15,2.8,1,0.0,1.0,0.53
15,3.0,1,0.0,1.0,0.26
15,3.25,1,0.0,1.0,0.0
15,3.5,1,0.0,1.0,0.0
15,3.75,1,0.0,1.0,0.0
